day,baseline,maximin
1,29.191595797898948,29.12856428214107
2,28.736000000000004,28.481
3,29.566000000000003,29.683000000000003
4,30.519000000000005,30.555
5,31.217,30.953000000000003
6,31.240000000000006,31.165
7,30.891000000000005,31.086000000000006
8,30.419000000000004,31.229
9,30.630499999999998,31.235
10,31.8168308069973,32.71277823136535
11,32.19069225786349,33.0281770489846
12,32.170550168605075,33.33811680327503
13,32.1380883999137,33.430628951804024
14,32.064869578948205,33.493659703933254
15,32.250411690676344,33.323685090491395
16,33.61143391737684,35.13764242332086
17,33.498183963474375,35.136614137026555
18,33.42810913450984,35.09464701167967
19,33.228890152837714,35.303504574545165
20,33.000058457750846,35.311214595123914
21,33.26669517461634,34.98292552579852
22,35.34304818625535,36.819016856866845
23,35.257758999420446,36.83098581019099
24,35.02096216223183,36.57773549702395
25,34.54288790126077,36.640387741575374
26,34.20213916304101,36.321239467493925
27,34.59479474805543,36.443073869980026
28,36.5912506207233,38.65652369684114
29,36.38881420136404,38.53766500562169
30,35.91252991234958,38.308945857687824
31,35.491582950137136,37.94310909572106
32,35.046199310191675,37.57226405618887
33,35.97308212376329,37.70146103942904
34,38.09846090404146,40.00484404017184
35,37.73528934028705,39.77035202516944
36,37.10356908476639,39.41893817339417
37,36.81614720787898,39.16210466290609
38,36.272634276638016,38.84608148434176
39,37.51943470313043,39.46023085903691
40,39.743918969442646,41.78923113357509
41,39.46759511359754,41.34779996291435
42,38.94994053894336,40.77205104207944
43,38.44951924223779,40.76842710342761
44,37.88032088700157,40.31430997272653
45,38.94473742907289,41.297730939367355
46,41.03314146999482,43.29614180210854
47,40.60187693867664,43.04462871469427
48,39.90643863154523,42.90786898124395
49,39.52650461396977,42.3336187847672
50,38.83012290276294,41.85804274086365
