,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
156,0,1,50,0,8,0,0.7000000000000007,7.000000000000007,369.0,0,1.0,12,8
148,1,1,46,2,6,0,0.0,11.0,311.0,4,-1.2,9,8
157,2,1,50,0,7,0,0.0999999999999991,0.9999999999999916,483.0,0,1.0,10,7
59,3,1,16,0,1,0,0.0,0.0,69.0,0,-1.0,6,1
256,0,2,38,0,5,0,0.0,0.0,351.0,0,-1.0,9,5
257,1,2,38,0,5,0,0.0,0.0,381.0,1,-1.2,9,5
192,2,2,9,0,0,1,0.0,0.0,42.0,3,-1.2,6,0
211,3,2,15,1,1,0,0.0,5.000000000000002,80.0,0,0.0,7,2
333,0,3,21,0,2,2,0.0,0.0,168.0,4,-1.2,5,2
315,1,3,15,1,1,1,0.0,5.000000000000001,98.0,0,0.0,6,2
346,2,3,27,0,3,0,0.0,0.0,135.0,0,-1.0,8,3
370,3,3,50,0,8,1,0.6,5.999999999999999,429.0,4,0.8,9,8
427,0,4,15,1,1,1,0.0,5.000000000000001,116.0,0,-1.0,8,2
481,1,4,38,0,5,0,0.0,0.0,519.0,2,-1.2,9,5
489,2,4,45,0,6,0,0.0,0.0,354.0,0,-1.0,7,6
448,3,4,21,1,2,1,0.0,5.000000000000003,143.0,2,-1.2,5,3
572,0,5,50,0,11,0,2.399999999999997,23.99999999999997,921.0,1,2.0,7,11
523,1,5,9,0,0,0,0.0,0.0,36.0,0,-1.0,7,0
537,2,5,15,0,1,0,0.0,0.0,75.0,2,-1.2,5,1
525,3,5,9,1,0,0,0.0,5.000000000000001,71.0,3,-1.2,6,1
629,0,6,15,1,1,0,0.0,5.000000000000002,110.0,0,-1.0,6,2
643,1,6,21,0,2,0,0.0,0.0,108.0,2,-1.2,5,2
662,2,6,39,0,5,0,0.0,0.0,273.0,0,-1.0,8,5
632,3,6,15,1,1,0,0.0,5.000000000000001,110.0,2,-1.2,8,2
815,0,7,50,1,8,1,0.6000000000000003,12.000000000000002,327.0,0,2.0,8,9
816,1,7,50,0,7,0,0.0,0.0,627.0,4,-0.1999999999999999,10,7
745,2,7,21,0,2,0,0.0,0.0,96.0,0,-1.0,5,2
782,3,7,33,1,4,2,0.0,5.000000000000002,239.0,4,-1.2,6,5
973,0,8,50,1,8,0,0.6000000000000009,12.000000000000009,345.0,0,2.0,6,9
850,1,8,9,0,0,0,0.0,0.0,36.0,1,-1.2,5,0
974,2,8,50,0,10,0,1.7999999999999976,17.999999999999975,651.0,4,0.8,6,10
975,3,8,50,1,7,0,2.498001805406602e-16,6.000000000000002,237.0,0,2.0,6,8
1172,0,9,50,0,8,3,0.6000000000000008,6.000000000000007,435.0,0,1.0,11,8
1173,1,9,50,1,9,0,1.1999999999999995,17.999999999999996,423.0,0,2.0,10,10
1174,2,9,50,0,10,1,1.7999999999999976,17.999999999999975,711.0,1,2.0,10,10
1175,3,9,50,0,8,2,0.6000000000000004,6.000000000000004,327.0,0,1.0,11,8
1256,0,10,21,0,2,1,0.0,0.0,138.0,3,-1.2,5,2
1318,1,10,50,0,7,0,0.0,0.0,537.0,1,-0.1999999999999999,8,7
1294,2,10,33,0,4,0,0.0,0.0,210.0,4,-1.2,6,4
1307,3,10,39,0,5,1,0.0,0.0,195.0,4,-1.2,10,5
1511,0,11,50,0,9,1,1.2000000000000002,12.000000000000002,375.0,0,1.0,12,9
1512,1,11,50,0,9,1,1.1999999999999962,11.99999999999996,933.0,4,0.8,8,9
1513,2,11,50,1,9,1,1.1999999999999988,17.99999999999999,531.0,0,2.0,8,10
1498,3,11,45,1,6,0,0.0,5.000000000000005,269.0,0,0.0,7,7
1602,0,12,33,0,4,0,0.0,0.0,168.0,1,-1.2,6,4
1581,1,12,20,1,2,0,0.0,5.999999999999997,198.0,4,-1.2,8,3
1596,2,12,27,0,3,0,0.0,0.0,171.0,2,-1.2,7,3
1549,3,12,9,0,0,1,0.0,0.0,42.0,2,-1.2,5,0
1799,0,13,50,1,8,4,0.6000000000000003,12.000000000000002,363.0,0,2.0,9,9
1800,1,13,50,0,10,1,1.7999999999999967,17.999999999999964,699.0,1,2.0,7,10
1801,2,13,50,0,8,2,0.5999999999999984,5.999999999999984,591.0,0,1.0,7,8
1802,3,13,50,0,8,4,0.6000000000000008,6.000000000000007,303.0,0,1.0,7,8
1907,0,14,27,1,3,1,0.0,5.000000000000005,170.0,0,0.0,5,4
1959,1,14,44,1,6,0,0.0,5.99999999999998,558.0,0,-1.0,7,7
1972,2,14,50,0,8,1,0.6000000000000006,6.000000000000006,267.0,0,1.0,9,8
1973,3,14,50,0,7,2,6.938893903907228e-16,6.9388939039072276e-15,339.0,4,0.8,9,7
2170,0,15,50,1,7,2,9.15933995315754e-16,6.000000000000008,435.0,0,1.0,11,8
2171,1,15,50,0,10,0,1.799999999999999,17.99999999999999,591.0,0,1.0,10,10
2172,2,15,50,0,9,1,1.1999999999999975,11.999999999999975,735.0,0,1.0,8,9
2173,3,15,50,1,8,0,0.600000000000001,12.00000000000001,339.0,0,2.0,10,9
2304,0,16,50,1,9,0,1.1999999999999993,17.999999999999993,507.0,0,2.0,7,10
2274,1,16,27,1,3,0,0.0,5.000000000000003,170.0,0,0.0,7,4
2287,2,16,33,0,4,0,0.0,0.0,204.0,4,-1.2,6,4
2257,3,16,21,0,2,0,0.0,0.0,132.0,0,-1.0,5,2
2376,0,17,27,0,3,1,0.0,0.0,195.0,2,-1.2,6,3
2357,1,17,15,1,1,1,0.0,5.000000000000001,98.0,4,-1.2,7,2
2370,2,17,21,0,2,0,0.0,0.0,114.0,4,-1.2,5,2
2340,3,17,9,1,2,0,1.2,17.999999999999996,41.0,0,0.0,5,3
2529,0,18,50,1,9,1,1.1999999999999995,17.999999999999996,477.0,0,2.0,10,10
2454,1,18,20,1,2,0,0.0,5.999999999999997,168.0,0,0.0,9,3
2523,2,18,44,0,6,0,0.0,0.0,432.0,3,-1.2,6,6
2513,3,18,39,0,5,0,0.0,0.0,201.0,1,-1.2,10,5
2562,0,19,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,4,1
2599,1,19,21,1,2,0,0.0,5.000000000000002,149.0,2,-1.2,5,3
2607,2,19,27,0,3,0,0.0,0.0,129.0,0,-1.0,7,3
2601,3,19,21,1,2,0,0.0,5.000000000000001,149.0,2,-1.2,5,3
2742,0,20,50,0,10,1,1.8000000000000005,18.0,441.0,1,2.0,8,10
