,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,reward,num_norms,count
0,1,0,0.080040020010005,0.0,0.0,0.7000000000000001,7.48024012006003,0.05977988994497249,5.0,1999
1,1,1,0.030015007503751877,0.0,0.0,0.7000000000000001,7.180090045022511,0.020860430215107556,5.0,1999
2,1,2,0.04502251125562781,0.0,0.0,0.7000000000000001,7.270135067533767,0.03176588294147074,5.0,1999
3,1,3,0.029014507253626812,0.0,0.0,0.7000000000000001,7.1740870435217605,0.019259629814907454,5.0,1999
4,2,0,0.2275,0.0885,0.0155,0.6531500000000001,7.8965000000000005,0.23335000000000003,5.268,2000
5,2,1,0.1045,0.031,0.0105,0.6186500000000001,6.813500000000001,0.0941,5.9975,2000
6,2,2,0.1365,0.0295,0.0255,0.6177500000000001,6.996500000000001,0.12260000000000001,5.358,2000
7,2,3,0.101,0.0315,0.0005,0.61895,6.7955000000000005,0.09765,5.239,2000
8,3,0,0.267,0.3235,0.0885,0.69415,8.5435,0.3476,5.7485,2000
9,3,1,0.1595,0.13,0.0635,0.5780500000000001,6.737500000000001,0.17295000000000002,6.5595,2000
10,3,2,0.227,0.143,0.0965,0.5858500000000001,7.220500000000001,0.23245000000000002,5.8535,2000
11,3,3,0.139,0.1335,0.008,0.58015,6.635500000000001,0.18065,5.639,2000
12,4,0,0.2845,0.5015,0.12,0.7009500000000001,8.7165,0.31545000000000006,6.6145,2000
13,4,1,0.2635,0.2155,0.078,0.52935,6.8745,0.1821,7.237,2000
14,4,2,0.337,0.239,0.1175,0.5434500000000001,7.4565,0.22085000000000002,6.7415,2000
15,4,3,0.187,0.263,0.0085,0.5578500000000001,6.7005,0.23805,6.531,2000
16,5,0,0.288,0.7035,0.1395,0.7221500000000001,8.9495,0.30995000000000006,7.2865,2000
17,5,1,0.3245,0.337,0.09,0.5022500000000001,6.969500000000001,0.22240000000000001,7.7685,2000
18,5,2,0.3295,0.4265,0.132,0.55595,7.5365,0.28120000000000006,7.37,2000
19,5,3,0.1915,0.439,0.009,0.56345,6.783500000000001,0.27755,7.129,2000
20,6,0,0.238,0.894,0.1755,0.73645,8.7925,0.2586,7.6405,2000
21,6,1,0.315,0.514,0.109,0.5084500000000001,6.974500000000001,0.24535,8.133,2000
22,6,2,0.224,0.715,0.157,0.6290500000000001,7.634500000000001,0.36790000000000006,7.6005,2000
23,6,3,0.187,0.625,0.01,0.5750500000000001,6.8725000000000005,0.27855,7.4255,2000
24,7,0,0.2665,1.046,0.203,0.7276500000000001,8.8755,0.25730000000000003,7.8835,2000
25,7,1,0.218,0.7665,0.1315,0.5599500000000001,6.907500000000001,0.3084,8.3925,2000
26,7,2,0.1715,0.917,0.1805,0.6502500000000001,7.531500000000001,0.27240000000000003,7.8665,2000
27,7,3,0.1875,0.7895,0.0115,0.5737500000000001,6.862500000000001,0.2519,7.6955,2000
28,8,0,0.261,1.261,0.2525,0.7566499999999999,9.1325,0.3294,8.191,2000
29,8,1,0.1755,0.9495,0.1635,0.5697500000000001,6.750500000000001,0.2404,8.7365,2000
30,8,2,0.192,1.071,0.2245,0.64265,7.578500000000001,0.2399,8.198,2000
31,8,3,0.203,0.934,0.0185,0.56045,6.822500000000001,0.2283,8.015,2000
32,9,0,0.21,1.476,0.333,0.7882,9.1225,0.26765000000000005,8.688,2000
33,9,1,0.152,1.1035,0.2145,0.5718000000000001,6.594500000000001,0.0867,9.2715,2000
34,9,2,0.1775,1.231,0.2975,0.6420500000000001,7.482000000000001,0.19355,8.697,2000
35,9,3,0.179,1.1135,0.025,0.58145,6.842,0.07055000000000002,8.523,2000
36,10,0,0.2375577219086711,1.6480246280143664,0.36275012827090813,0.7888660851718831,9.314007183170856,0.020164186762442287,9.420728578758338,1949
37,10,1,0.20199225235196458,1.2866629773104594,0.23574986164914222,0.5720531267293858,6.932484781405646,-0.04277808522412839,9.955174322080797,1807
38,10,2,0.2505175983436853,1.374223602484472,0.3219461697722567,0.6245859213250518,7.748964803312631,-0.02437888198757763,9.4648033126294,1932
39,10,3,0.1580161476355248,1.397923875432526,0.02825836216839677,0.6388119953863899,7.336216839677047,0.06891580161476356,9.21683967704729,1734
40,11,0,0.2586090479405807,1.8345712356515869,0.40580688723835245,0.800810263335584,9.559756920999325,0.30040513166779204,4.99932478055368,1481
41,11,1,0.26536124240378123,1.37474679270763,0.25523295070898044,0.5249155975692101,6.841323430114788,0.19345037137069548,5.0,1481
42,11,2,0.29304523970290347,1.5408507765023634,0.34436191762322754,0.62457798784605,8.004051316677922,0.2609047940580689,5.0,1481
43,11,3,0.17285617825793384,1.5692099932478056,0.02835921674544227,0.6415935178933153,7.453072248480757,0.2449696151249156,5.0,1481
44,12,0,0.2565833896016205,2.0195813639432814,0.4463200540175557,0.8118163403106009,9.657663740715732,0.29318028359216747,5.546927751519243,1481
45,12,1,0.27481431465226197,1.5422012153950033,0.28426738690074277,0.5253882511816341,6.902768399729913,0.2573936529372046,5.571910871033086,1481
46,12,2,0.2261985145172181,1.7900067521944631,0.3679945982444294,0.6740715732613101,8.097906819716409,0.32640108035111415,5.528021607022282,1481
47,12,3,0.1863605671843349,1.7346387575962188,0.03038487508440243,0.6408507765023633,7.526671168129642,0.25455773126266035,5.473328831870358,1481
48,13,0,0.27278865631330185,2.1985145172180958,0.4800810263335584,0.8191762322754895,9.828494260634706,0.28028359216745447,5.964213369345037,1481
49,13,1,0.22552329507089805,1.7724510465901417,0.3112761647535449,0.5635381498987172,6.98852126941256,0.30688723835246456,6.012153950033761,1481
50,13,2,0.19851451721809588,1.9689399054692776,0.400405131667792,0.6814314652261986,8.005401755570562,0.26198514517218097,5.964213369345037,1481
51,13,3,0.19581363943281566,1.8960162052667118,0.03781228899392303,0.6376772451046591,7.551654287643484,0.25016880486158,5.856178257933829,1481
52,14,0,0.2261985145172181,2.4024307900067523,0.5563808237677245,0.8415259959486833,9.77245104659014,0.29891964888588796,6.436191762322755,1481
53,14,1,0.17825793382849425,1.9655638082376772,0.34908845374746794,0.5794058068872384,6.8636056718433505,0.23706954760297097,6.5455773126266035,1481
54,14,2,0.21809588116137746,2.147873058744092,0.45644834571235654,0.6887913571910872,8.196488858879137,0.2658338960162053,6.399729912221472,1481
55,14,3,0.18973666441593517,2.060769750168805,0.04929101958136394,0.636529372045915,7.50371370695476,0.24118838622552333,6.293045239702903,1481
56,15,0,0.24307900067521945,2.5793382849426063,0.62525320729237,0.85185685347738,9.943281566509114,0.2488858879135719,7.057393652937205,1481
57,15,1,0.1512491559756921,2.1397704253882512,0.3889264010803511,0.5945982444294396,6.822417285617826,0.08392977717758271,7.1917623227548955,1481
58,15,2,0.1863605671843349,2.3173531397704252,0.5226198514517219,0.6940580688723836,8.051316677920324,0.20519918973666443,6.963538149898717,1481
59,15,3,0.16475354490209318,2.2194463200540175,0.05536799459824443,0.6440918298446996,7.389601620526671,0.07224848075624578,6.899392302498312,1481
60,16,0,0.22692036645525018,2.7935165609584214,0.6659619450317125,0.8761804087385481,10.123326286116983,0.030866807610993665,7.854122621564482,1419
61,16,1,0.19576719576719576,2.3560090702947845,0.4308390022675737,0.6136810279667423,7.311413454270599,-0.03726379440665155,7.953136810279667,1323
62,16,2,0.24299719887955182,2.4719887955182074,0.5462184873949579,0.6832633053221289,8.2906162464986,-0.042436974789915954,7.785714285714286,1428
