,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
109,2,1,29,0,5,1,1.0,10.0,1,-0.1999999999999999,9,5
110,3,1,29,0,4,0,0.3999999999999998,3.999999999999998,3,-1.1,9,4
244,2,2,34,0,5,0,0.4000000000000004,4.000000000000004,0,-1.0,7,5
245,3,2,34,1,5,0,0.4,10.0,0,-0.1999999999999999,7,6
307,1,3,16,0,2,0,0.4000000000000002,4.000000000000002,1,-1.1,8,2
308,2,3,16,1,2,1,0.4000000000000002,10.000000000000002,0,-0.1999999999999999,10,3
466,2,4,40,1,7,0,0.9999999999999988,15.999999999999988,0,-0.1999999999999999,10,8
467,3,4,40,0,6,0,0.4000000000000003,4.000000000000004,0,-1.0,11,6
505,2,5,10,0,2,0,1.0,10.0,0,-1.0,10,2
506,3,5,10,0,1,0,0.4000000000000002,4.000000000000002,0,-1.0,11,1
544,2,6,10,0,2,1,1.0,10.0,1,-0.1999999999999999,11,2
545,3,6,10,0,2,0,0.9999999999999996,9.999999999999996,0,-1.0,10,2
583,1,7,10,0,2,1,0.9999999999999996,9.999999999999996,0,-1.0,12,2
584,2,7,10,0,2,1,1.0,10.0,1,-1.1,13,2
646,2,8,16,0,3,0,1.0,10.0,0,-1.0,8,3
647,3,8,16,0,2,1,0.4000000000000001,4.000000000000001,0,-1.0,7,2
685,2,9,10,0,1,0,0.4000000000000002,4.000000000000002,0,-1.0,6,1
686,3,9,10,0,1,0,0.4000000000000001,4.000000000000001,0,-1.0,7,1
771,0,10,22,0,3,0,0.4000000000000001,4.000000000000001,1,-1.1,6,3
772,2,10,22,0,3,0,0.3999999999999999,3.999999999999999,0,-1.0,6,3
810,1,11,10,0,1,2,0.4000000000000001,4.000000000000001,0,-1.0,14,1
811,2,11,10,0,1,2,0.4000000000000001,4.000000000000001,0,-1.0,12,1
920,0,12,28,0,6,3,1.5999999999999983,15.999999999999982,2,-1.1,10,6
921,2,12,28,0,5,3,1.0,10.0,1,-1.1,11,5
1120,2,13,50,0,10,3,1.799999999999999,17.99999999999999,0,1.0,9,10
1121,3,13,50,0,9,1,1.1999999999999988,11.999999999999988,0,1.0,9,9
1183,1,14,16,1,2,0,0.4000000000000002,10.000000000000002,0,-1.0,8,3
1184,2,14,16,0,2,0,0.4000000000000002,4.000000000000002,0,-1.0,6,2
1246,1,15,16,0,3,0,1.0,10.0,0,-1.0,10,3
1247,2,15,16,1,2,0,0.4000000000000003,10.000000000000004,3,-1.1,9,3
1285,2,16,10,0,1,0,0.4000000000000002,4.000000000000002,0,-1.0,9,1
1286,3,16,10,0,2,0,1.0,10.0,3,-1.1,9,2
1324,2,17,10,0,2,0,1.0,10.0,3,-1.1,7,2
1325,3,17,10,0,1,0,0.4000000000000002,4.000000000000002,3,-1.1,8,1
1387,1,18,16,0,2,1,0.4000000000000002,4.000000000000002,0,-1.0,7,2
1388,2,18,16,1,2,1,0.4000000000000001,10.0,0,-0.1999999999999999,7,3
1450,2,19,16,0,2,0,0.4000000000000002,4.000000000000002,0,-1.0,7,2
1451,3,19,16,0,2,0,0.4000000000000002,4.000000000000002,3,-1.1,7,2
1633,1,20,46,1,9,3,1.5999999999999983,21.999999999999982,0,-0.1999999999999999,9,10
1634,2,20,46,0,8,1,0.9999999999999996,9.999999999999996,2,-1.1,7,8
1768,2,21,34,0,6,3,0.9999999999999996,9.999999999999996,0,-1.0,7,6
1769,3,21,34,1,6,0,1.0000000000000004,16.000000000000004,0,-0.1999999999999999,8,7
1968,2,22,50,0,8,1,0.6,5.999999999999999,0,1.0,11,8
1969,3,22,50,0,8,2,0.5999999999999982,5.999999999999981,0,1.0,10,8
2168,2,23,50,0,8,0,0.5999999999999995,5.999999999999995,0,1.0,9,8
2169,3,23,50,1,7,1,2.498001805406602e-16,6.000000000000002,0,1.8,8,8
2275,1,24,27,0,4,1,0.5000000000000006,5.000000000000005,0,-1.0,10,4
2276,3,24,27,0,3,0,0.0,0.0,3,-2.1,9,3
2362,1,25,22,1,3,0,0.4000000000000002,10.000000000000002,4,-1.1,6,4
2363,2,25,22,0,3,0,0.4000000000000002,4.000000000000002,0,-1.0,6,3
2469,2,26,27,0,5,0,1.0999999999999996,10.999999999999996,1,-1.1,10,5
2470,3,26,27,0,4,0,0.4999999999999993,4.999999999999993,0,-1.0,9,4
2532,2,27,16,0,3,1,1.0,9.999999999999998,3,-1.1,8,3
2533,3,27,16,0,3,0,0.999999999999999,9.99999999999999,4,-1.1,9,3
2571,2,28,10,0,2,1,1.0,10.0,0,-1.0,10,2
2572,3,28,10,0,2,0,1.0,9.999999999999998,0,-1.0,11,2
2634,2,29,16,1,2,0,0.4000000000000001,10.0,0,-0.1999999999999999,7,3
2635,3,29,16,1,2,0,0.4000000000000002,10.000000000000002,0,-0.1999999999999999,8,3
2721,1,30,22,0,4,0,1.0,9.999999999999998,3,-1.1,6,4
2722,2,30,22,0,3,0,0.4000000000000002,4.000000000000002,0,-1.0,6,3
2832,2,31,28,0,4,0,0.4000000000000006,4.000000000000005,0,-1.0,8,4
2833,3,31,28,0,4,0,0.4000000000000006,4.000000000000005,0,-1.0,9,4
2919,1,32,22,1,3,0,0.4000000000000003,10.000000000000004,0,-0.1999999999999999,6,4
2920,2,32,22,0,4,1,1.0,10.0,0,-1.0,6,4
3002,1,33,21,1,3,0,0.5000000000000001,11.0,3,-1.1,5,4
3003,3,33,21,0,3,0,0.5000000000000004,5.000000000000004,4,-1.1,5,3
3161,2,34,40,0,7,3,0.9999999999999984,9.999999999999982,0,-1.0,10,7
3162,3,34,40,0,8,0,1.5999999999999996,15.999999999999996,2,-1.1,9,8
3200,2,35,10,1,1,0,0.4000000000000002,10.000000000000002,0,-0.1999999999999999,9,2
3201,3,35,10,0,2,0,1.0,10.0,0,-1.0,9,2
3239,2,36,10,0,2,0,1.0,10.0,1,-0.1999999999999999,9,2
3240,3,36,10,0,1,0,0.4000000000000002,4.000000000000002,0,-1.0,10,1
3302,1,37,16,0,2,1,0.4000000000000003,4.000000000000004,1,-1.1,8,2
3303,2,37,16,1,2,0,0.4000000000000003,10.000000000000004,2,-1.1,8,3
3388,0,38,22,0,5,1,1.5999999999999992,15.999999999999991,0,-1.0,6,5
3389,2,38,22,0,3,1,0.4000000000000001,4.000000000000001,0,-1.0,6,3
3427,2,39,10,0,1,0,0.4000000000000002,4.000000000000002,0,-1.0,10,1
3428,3,39,10,0,1,0,0.4000000000000002,4.000000000000002,0,-1.0,9,1
