day,baseline,egalitarian,maximin,utilitarian
1,0.0,0.0,0.0,0.0
2,0.1745,0.2335,0.1055,0.1945
3,0.5765,0.7545,0.4175,0.599
4,0.799,1.1015,0.6245,0.8625
5,0.956,1.401,0.737,1.1
6,1.1575,1.6475,1.0235,1.344
7,1.448,1.9215,1.2485,1.55
8,1.72,2.269,1.4765,1.796
9,2.0355,2.641,1.769,2.092
10,2.268996960486322,2.893520843797087,2.067539267015707,2.310431293881645
11,2.4604863221884496,3.153691612255148,2.2649214659685866,2.546639919759278
12,2.6631205673758864,3.4208940231039677,2.48848167539267,2.7938816449348045
13,2.9311043566362716,3.726770467101959,2.7209424083769633,3.0310932798395185
14,3.225430597771023,4.0813661476644905,2.9785340314136124,3.2833500501504513
15,3.566869300911854,4.364138623807132,3.250261780104712,3.5922768304914743
16,3.8098411071245515,4.611977856064419,3.5655512890839276,3.829133064516129
17,4.028190671450538,4.8600905888273775,3.782775644541964,4.071068548387097
18,4.259354177344951,5.124308002013085,4.009873834339001,4.314012096774194
19,4.525371604305485,5.426774031202818,4.233132199670872,4.551915322580645
20,4.832906201947719,5.726723704076497,4.50082281952825,4.810987903225806
21,5.189646335212712,5.9929542023150475,4.787093215664644,5.1059001512859306
22,5.40719794344473,6.221942627075994,5.135916714864083,5.367857142857143
23,5.639074550128535,6.4584801207851035,5.343551185656449,5.59234693877551
24,5.880719794344473,6.73980875691998,5.591671486408329,5.808163265306122
25,6.140359897172236,7.004026170105687,5.823019086176981,6.03469387755102
26,6.438046272493573,7.280322093608455,6.082706766917293,6.295918367346939
27,6.746913580246914,7.489682939104177,6.334300638421358,6.60655737704918
28,6.9865841073271415,7.7004028197381675,6.642601431980907,6.866666666666666
29,7.22703818369453,7.932527693856999,6.881264916467781,7.091666666666667
30,7.459752321981425,8.20392749244713,7.10799522673031,7.295833333333333
31,7.723942208462332,8.464249748237664,7.341885441527446,7.530208333333333
32,7.992776057791538,8.701409869083585,7.587112171837709,7.760416666666667
33,8.285861713106295,8.895770392749245,7.843019772318754,8.090813093980993
34,8.521177685950413,9.100302419354838,8.13345521023766,8.377501352082207
35,8.75413223140496,9.309475806451612,8.3363802559415,8.593293672255273
36,9.002582644628099,9.56350806451613,8.558805606337598,8.804759329367226
37,9.259814049586776,9.778225806451612,8.780012187690433,9.023255813953488
38,9.510330578512397,10.007056451612904,9.019500304692261,9.246078961600865
39,9.78375581996896,10.22429435483871,9.278558338423947,9.553542009884678
40,10.009844559585492,10.410282258064516,9.559701492537313,9.837640449438203
41,10.24559585492228,10.624495967741936,9.774875621890548,10.039325842696629
42,10.469430051813472,10.848790322580646,10.002487562189055,10.23876404494382
43,10.7,11.074596774193548,10.217039800995025,10.434269662921348
44,10.94300518134715,11.277721774193548,10.46455223880597,10.669662921348314
45,11.192946058091286,11.480342741935484,10.692307692307692,10.94946053378762
46,11.41338174273859,11.667842741935484,10.948701709943002,11.214161346488682
47,11.62448132780083,11.857358870967742,11.172260924635845,11.392338943702844
48,11.828319502074688,12.051915322580646,11.384420519316024,11.604759141033082
49,12.059128630705395,12.252520161290322,11.594661700806952,11.7968659315148
50,12.276452282157676,12.454637096774194,11.820608317815022,12.012768427161927
