,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
177,0,1,50,1,11,4,2.499999999999999,30.99999999999999,633.0,0,2.0,,12
129,1,1,34,0,4,1,0.0,0.0,252.0,4,-1.2,,4
178,2,1,50,0,15,2,4.899999999999999,48.99999999999999,1215.0,1,2.0,,15
179,3,1,50,0,11,2,2.4999999999999964,24.999999999999964,1191.0,0,1.0,,11
342,0,2,50,0,9,3,1.1999999999999988,11.999999999999988,531.0,0,1.0,,9
343,1,2,50,2,11,1,2.399999999999999,35.999999999999986,867.0,0,2.0,,13
238,2,2,15,2,1,0,0.0,11.0,86.0,0,0.0,,3
344,3,2,50,0,8,2,0.6000000000000003,6.000000000000003,405.0,3,1.5,,8
541,0,3,50,0,8,4,0.6000000000000008,6.000000000000007,363.0,0,1.0,,8
542,1,3,50,0,8,0,0.6000000000000006,6.000000000000006,375.0,0,1.0,,8
543,2,3,50,0,10,1,1.799999999999999,17.99999999999999,555.0,0,1.0,,10
544,3,3,50,0,11,0,2.3999999999999977,23.99999999999997,717.0,0,1.0,,11
725,0,4,50,0,10,3,1.7999999999999994,17.999999999999993,459.0,0,1.0,,10
674,1,4,33,1,4,0,0.0,5.000000000000002,239.0,4,-1.2,,5
726,2,4,50,1,11,1,2.399999999999998,29.999999999999982,777.0,1,2.0,,12
727,3,4,50,0,12,0,2.999999999999997,29.999999999999968,993.0,1,2.0,,12
914,0,5,50,1,8,3,0.600000000000001,12.00000000000001,363.0,0,2.0,,9
881,1,5,39,0,5,1,0.0,0.0,231.0,4,-1.2,,5
915,2,5,50,1,13,0,3.599999999999997,41.99999999999997,1491.0,0,2.0,,14
916,3,5,50,1,9,0,1.199999999999997,17.99999999999997,729.0,0,1.0,,10
1073,0,6,50,1,9,0,1.1999999999999984,17.999999999999982,591.0,2,0.8,,10
950,1,6,9,2,0,0,0.0,11.0,83.0,4,-1.2,,2
1074,2,6,50,1,10,0,1.7999999999999994,23.999999999999996,615.0,0,1.0,,11
1075,3,6,50,0,10,0,1.799999999999998,17.99999999999998,663.0,0,1.0,,10
1252,0,7,45,1,6,3,0.0,5.000000000000005,323.0,0,0.0,,7
1268,1,7,50,1,7,1,0.0,5.999999999999993,525.0,4,-0.1999999999999999,,8
1269,2,7,50,2,12,0,2.999999999999997,41.999999999999964,1155.0,0,2.0,,14
1270,3,7,50,0,11,0,2.4,24.0,507.0,0,1.0,,11
1467,0,8,50,1,8,2,0.6000000000000005,12.000000000000004,369.0,0,2.0,,9
1468,1,8,50,1,8,0,0.5999999999999998,11.999999999999996,441.0,0,2.0,,9
1469,2,8,50,0,11,0,2.3999999999999977,23.99999999999997,789.0,0,1.0,,11
1470,3,8,50,0,8,0,0.6000000000000001,6.000000000000001,417.0,0,1.0,,8
1633,0,9,50,0,9,1,1.1999999999999995,11.999999999999996,483.0,1,2.0,,9
1528,1,9,15,1,1,2,0.0,5.000000000000001,104.0,0,0.0,,2
1634,2,9,50,0,12,0,2.9999999999999973,29.99999999999997,1071.0,1,2.0,,12
1635,3,9,50,2,12,0,2.9999999999999964,41.999999999999964,1377.0,0,2.0,,14
1792,0,10,50,0,8,2,0.5999999999999982,5.999999999999981,591.0,1,0.8,,8
1669,1,10,9,0,0,0,0.0,0.0,36.0,4,-1.2,,0
1793,2,10,50,0,14,1,4.2,42.0,1581.0,0,1.0,,14
1794,3,10,50,1,9,2,1.1999999999999962,17.99999999999996,1011.0,0,1.0,,10
1969,0,11,50,0,11,1,2.4,24.0,519.0,1,2.0,,11
1900,1,11,27,1,3,1,0.0,5.000000000000002,182.0,4,-1.2,,4
1970,2,11,50,0,13,0,3.599999999999997,35.99999999999997,1023.0,0,1.0,,13
1971,3,11,50,0,11,1,2.399999999999997,23.999999999999968,1095.0,1,2.0,,11
2128,0,12,50,0,9,1,1.1999999999999995,11.999999999999996,465.0,0,1.0,,9
2005,1,12,9,1,0,0,0.0,5.000000000000001,47.0,4,-1.2,,1
2129,2,12,50,0,12,0,2.999999999999998,29.99999999999997,921.0,0,1.0,,12
2130,3,12,50,0,10,0,1.7999999999999985,17.999999999999982,627.0,0,1.0,,10
2287,0,13,50,0,11,0,2.399999999999999,23.99999999999999,567.0,1,0.8,,11
2164,1,13,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,,1
2288,2,13,50,0,10,1,1.7999999999999972,17.99999999999997,765.0,1,0.8,,10
2289,3,13,50,1,11,0,2.399999999999998,29.999999999999982,729.0,0,2.0,,12
2394,0,14,27,0,3,2,0.0,0.0,135.0,0,-1.0,,3
2464,1,14,50,1,9,0,1.1999999999999995,17.999999999999996,603.0,0,1.0,,10
2465,2,14,50,0,14,0,4.199999999999997,41.999999999999964,1449.0,0,1.0,,14
2466,3,14,50,0,9,0,1.1999999999999984,11.999999999999984,531.0,3,0.8,,9
2623,0,15,50,1,9,1,1.199999999999998,17.99999999999998,627.0,0,2.0,,10
2500,1,15,9,2,0,0,0.0,11.0,95.0,4,-1.2,,2
2624,2,15,50,0,12,0,2.9999999999999982,29.999999999999982,831.0,0,1.0,,12
2625,3,15,50,0,10,0,1.7999999999999967,17.999999999999964,813.0,0,1.0,,10
2800,0,16,50,0,8,3,0.6000000000000011,6.000000000000011,333.0,2,0.8,,8
2731,1,16,27,0,3,1,0.0,0.0,147.0,4,-1.2,,3
2801,2,16,50,1,13,0,3.5999999999999965,41.999999999999964,1425.0,0,1.0,,14
2802,3,16,50,1,12,0,2.9999999999999973,35.99999999999997,1329.0,0,1.0,,13
2999,0,17,50,0,9,3,1.2000000000000004,12.000000000000004,381.0,1,2.0,,9
3000,1,17,50,1,7,2,0.0,5.999999999999997,459.0,4,-0.1999999999999999,,8
3001,2,17,50,1,16,0,5.400000000000002,60.000000000000014,1803.0,0,2.0,,17
3002,3,17,50,1,8,3,0.5999999999999993,11.999999999999991,525.0,0,2.0,,9
3195,0,18,50,0,8,1,0.600000000000001,6.00000000000001,381.0,0,1.0,,8
3180,1,18,45,0,6,0,0.0,0.0,282.0,4,-1.2,,6
3196,2,18,50,0,12,0,2.9999999999999982,29.999999999999982,771.0,0,1.0,,12
3197,3,18,50,1,8,0,0.6000000000000005,12.000000000000004,417.0,0,1.0,,9
3378,0,19,50,1,9,2,1.1999999999999993,17.999999999999993,495.0,0,1.0,,10
3327,1,19,33,0,4,0,0.0,0.0,240.0,4,-1.2,,4
3379,2,19,50,1,11,0,2.3999999999999986,29.999999999999982,657.0,0,2.0,,12
3380,3,19,50,0,11,0,2.3999999999999977,23.99999999999997,831.0,0,1.0,,11
3555,0,20,50,0,10,1,1.7999999999999994,17.999999999999993,567.0,1,2.0,,10
3486,1,20,27,0,3,1,0.0,0.0,213.0,4,-1.2,,3
3556,2,20,50,1,11,1,2.3999999999999964,29.999999999999964,1161.0,0,1.0,,12
3557,3,20,50,1,11,0,2.399999999999997,29.999999999999968,1077.0,1,2.0,,12
3720,0,21,50,0,9,3,1.199999999999998,11.99999999999998,729.0,2,0.8,,9
3615,1,21,15,1,1,0,0.0,5.000000000000002,104.0,4,-1.2,,2
3721,2,21,50,1,12,1,2.9999999999999973,35.99999999999997,1203.0,0,2.0,,13
3722,3,21,50,1,14,0,4.1999999999999975,47.99999999999997,1509.0,1,2.0,,15
3919,0,22,50,0,8,1,0.6000000000000009,6.000000000000008,363.0,0,1.0,,8
3920,1,22,50,0,8,0,0.6000000000000001,6.000000000000001,393.0,0,1.0,,8
3921,2,22,50,0,13,0,3.599999999999998,35.99999999999998,873.0,1,2.0,,13
3922,3,22,50,0,9,0,1.1999999999999993,11.999999999999991,507.0,0,1.0,,9
4027,0,23,27,1,3,1,0.0,5.000000000000003,182.0,0,0.0,,4
4097,1,23,50,0,9,0,1.1999999999999995,11.999999999999996,441.0,0,1.0,,9
4098,2,23,50,0,11,0,2.399999999999998,23.99999999999998,783.0,0,1.0,,11
4099,3,23,50,0,9,0,1.1999999999999988,11.999999999999988,483.0,0,1.0,,9
