,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
183,0,1,50,1,8,3,0.7000000000000003,13.000000000000002,579.0,0,1.0,,9
184,1,1,50,0,10,1,1.8999999999999984,18.999999999999982,585.0,0,1.0,,10
154,2,1,40,1,5,2,0.0,5.000000000000001,242.0,0,-0.1999999999999999,,6
185,3,1,50,1,17,0,6.100000000000002,67.00000000000001,1731.0,0,1.8,,18
360,0,2,50,1,11,6,2.399999999999997,29.999999999999968,1245.0,0,1.0,,12
361,1,2,50,0,7,0,5.828670879282072e-16,5.828670879282072e-15,327.0,0,1.0,,7
362,2,2,50,1,14,4,4.199999999999999,47.99999999999999,1095.0,0,1.8,,15
293,3,2,27,1,3,1,0.0,5.000000000000001,242.0,0,-1.0,,4
530,0,3,50,0,11,6,2.3999999999999986,23.999999999999982,735.0,0,1.0,,11
440,1,3,20,0,2,1,0.0,0.0,174.0,0,-1.0,,2
531,2,3,50,0,11,0,2.3999999999999977,23.99999999999997,819.0,0,1.0,,11
532,3,3,50,0,13,3,3.599999999999997,35.99999999999997,1059.0,2,0.9,,13
689,0,4,50,2,9,1,1.1999999999999993,23.999999999999996,621.0,0,1.8,,11
566,1,4,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,,1
690,2,4,50,0,12,0,2.999999999999997,29.999999999999968,1023.0,0,1.0,,12
691,3,4,50,2,13,0,3.599999999999997,47.99999999999997,1527.0,0,1.8,,15
884,0,5,50,0,14,5,4.199999999999998,41.99999999999998,1731.0,0,1.0,,14
869,1,5,45,0,6,2,0.0,0.0,294.0,3,-1.1,,6
885,2,5,50,0,14,2,4.199999999999999,41.99999999999999,825.0,0,1.0,,14
886,3,5,50,0,8,6,0.5999999999999993,5.999999999999993,657.0,3,0.9,,8
1067,0,6,50,0,11,9,2.399999999999998,23.99999999999998,735.0,3,1.5,,11
1016,1,6,33,0,4,2,0.0,0.0,246.0,3,-1.1,,4
1068,2,6,50,1,16,6,5.400000000000005,60.00000000000004,1809.0,0,1.0,,17
1069,3,6,50,0,9,1,1.1999999999999975,11.999999999999975,669.0,0,1.0,,9
1266,0,7,50,1,12,4,2.9999999999999973,35.99999999999997,1011.0,0,1.0,,13
1267,1,7,50,0,9,1,1.1999999999999995,11.999999999999996,489.0,1,1.8,,9
1268,2,7,50,0,11,4,2.399999999999999,23.99999999999999,627.0,2,1.5,,11
1269,3,7,50,1,8,1,0.6000000000000006,12.000000000000004,369.0,1,1.8,,9
1438,0,8,50,1,11,8,2.399999999999997,29.99999999999997,1077.0,3,1.5,,12
1439,1,8,50,0,9,1,1.1999999999999993,11.999999999999991,519.0,1,1.8,,9
1440,2,8,50,0,13,6,3.599999999999998,35.99999999999998,1029.0,0,1.0,,13
1353,3,8,21,1,2,1,0.0,5.000000000000003,143.0,0,-1.0,,3
1605,0,9,50,0,11,7,2.399999999999997,23.999999999999968,1299.0,0,1.0,,11
1583,1,9,39,0,5,1,0.0,0.0,291.0,0,-1.0,,5
1606,2,9,50,0,14,4,4.199999999999998,41.99999999999998,1155.0,0,1.0,,14
1548,3,9,27,1,3,1,0.0,5.000000000000001,230.0,0,-1.0,,4
1803,0,10,50,1,8,7,0.5999999999999998,11.999999999999996,705.0,4,1.5,,9
1804,1,10,50,0,9,1,1.1999999999999993,11.999999999999991,435.0,0,1.0,,9
1805,2,10,50,0,8,1,0.6000000000000003,6.000000000000003,429.0,0,1.0,,8
1806,3,10,50,1,16,1,5.400000000000004,60.00000000000004,1623.0,0,1.0,,17
2003,0,11,50,1,8,4,0.6000000000000011,12.00000000000001,429.0,0,1.8,,9
2004,1,11,50,0,8,1,0.5999999999999989,5.9999999999999885,567.0,0,1.0,,8
2005,2,11,50,1,14,0,4.2,47.99999999999999,1305.0,0,1.0,,15
2006,3,11,50,0,9,0,1.2000000000000004,12.000000000000004,363.0,1,1.8,,9
2175,0,12,50,2,10,2,1.7999999999999967,29.999999999999964,891.0,0,1.8,,12
2176,1,12,50,0,11,0,2.399999999999999,23.99999999999999,621.0,0,1.0,,11
2089,2,12,21,0,2,2,0.0,0.0,126.0,0,-1.0,,2
2177,3,12,50,0,10,1,1.7999999999999972,17.99999999999997,735.0,0,1.0,,10
2374,0,13,50,1,8,0,0.600000000000001,12.00000000000001,435.0,0,1.0,,9
2375,1,13,50,1,8,0,0.6000000000000001,12.000000000000002,453.0,0,1.8,,9
2376,2,13,50,0,8,2,0.6000000000000001,6.000000000000001,453.0,0,1.0,,8
2377,3,13,50,0,13,0,3.599999999999998,35.99999999999998,1011.0,0,1.0,,13
2534,0,14,50,0,11,5,2.399999999999997,23.999999999999968,1155.0,1,1.8,,11
2535,1,14,50,0,9,0,1.2000000000000004,12.000000000000004,393.0,1,1.8,,9
2536,2,14,50,1,13,2,3.5999999999999983,41.99999999999998,957.0,0,1.8,,14
2413,3,14,9,1,0,1,0.0,5.000000000000001,53.0,0,-1.0,,1
2695,0,15,50,1,12,9,2.999999999999997,35.999999999999964,1185.0,0,1.0,,13
2673,1,15,39,0,5,3,0.0,0.0,303.0,0,-1.0,,5
2696,2,15,50,0,15,8,4.800000000000003,48.00000000000003,1293.0,0,1.0,,15
2620,3,15,21,1,2,0,0.0,5.000000000000001,167.0,0,-1.0,,3
2865,0,16,50,0,12,8,2.9999999999999973,29.99999999999997,1035.0,0,1.0,,12
2866,1,16,50,1,8,2,0.5999999999999989,11.999999999999988,549.0,0,1.8,,9
2867,2,16,50,1,15,6,4.800000000000002,54.00000000000001,1359.0,0,1.8,,16
2780,3,16,21,1,2,0,0.0,5.000000000000003,107.0,0,-0.1999999999999999,,3
3064,0,17,50,1,15,2,4.8,53.99999999999999,1725.0,3,1.5,,16
3065,1,17,50,0,7,1,1.3877787807814454e-16,1.3877787807814457e-15,387.0,4,0.9,,7
3066,2,17,50,0,11,3,2.3999999999999986,23.999999999999982,663.0,1,0.9,,11
3067,3,17,50,1,9,2,1.1999999999999993,17.999999999999993,669.0,0,1.0,,10
3264,0,18,50,1,11,3,2.3999999999999995,29.999999999999996,495.0,0,1.8,,12
3265,1,18,50,0,9,0,1.1999999999999995,11.999999999999996,477.0,1,1.8,,9
3266,2,18,50,0,11,4,2.399999999999997,23.999999999999968,1113.0,2,1.5,,11
3267,3,18,50,0,9,0,1.1999999999999995,11.999999999999996,477.0,0,1.0,,9
3453,0,19,50,1,11,5,2.399999999999997,29.99999999999997,1353.0,0,1.0,,12
3454,1,19,50,0,8,1,0.5999999999999985,5.999999999999985,573.0,0,1.0,,8
3455,2,19,50,0,14,2,4.2,42.0,825.0,0,1.0,,14
3419,3,19,38,2,5,2,0.0,11.999999999999996,345.0,0,-0.1999999999999999,,7
3652,0,20,50,0,8,6,0.6000000000000002,6.000000000000002,591.0,0,1.0,,8
3653,1,20,50,0,9,0,1.1999999999999995,11.999999999999996,507.0,1,1.8,,9
3654,2,20,50,0,8,2,0.600000000000001,6.00000000000001,399.0,4,1.5,,8
3655,3,20,50,0,17,0,6.000000000000004,60.00000000000004,1551.0,0,1.0,,17
3835,0,21,50,0,16,0,5.4,53.99999999999999,1683.0,0,1.0,,16
