,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
177,0,1,50,1,8,6,0.7000000000000007,13.000000000000009,447.0,1,1.8,,9
178,1,1,50,0,8,0,0.7000000000000005,7.000000000000004,303.0,0,1.0,,8
179,2,1,50,0,14,1,4.300000000000003,43.00000000000003,1641.0,4,0.9,,14
131,3,1,34,1,4,0,0.0,5.000000000000002,251.0,2,-1.1,,5
372,0,2,50,1,8,2,0.6000000000000008,12.000000000000004,393.0,0,1.8,,9
357,1,2,45,0,6,2,0.0,0.0,306.0,1,-1.1,,6
373,2,2,50,1,13,0,3.599999999999998,41.99999999999997,1143.0,1,1.8,,14
374,3,2,50,0,8,0,0.5999999999999999,5.999999999999998,465.0,0,1.0,,8
538,0,3,50,4,18,0,6.600000000000004,90.00000000000003,2289.0,0,1.8,,22
504,1,3,33,1,4,2,0.0,5.000000000000004,197.0,0,-1.0,,5
501,2,3,32,1,4,1,0.0,5.999999999999997,282.0,0,-0.1999999999999999,,5
539,3,3,50,0,8,2,0.6000000000000005,6.000000000000005,399.0,0,1.0,,8
680,0,4,50,5,13,0,3.599999999999997,65.99999999999997,2145.0,0,1.8,,18
681,1,4,50,1,10,1,1.799999999999998,23.99999999999998,681.0,0,1.8,,11
622,2,4,21,0,2,1,0.0,0.0,120.0,2,-1.1,,2
623,3,4,21,0,2,2,0.0,0.0,132.0,3,-1.1,,2
878,0,5,50,1,7,3,6.938893903907228e-16,6.000000000000006,375.0,4,0.9,,8
879,1,5,50,0,8,1,0.5999999999999993,5.999999999999993,483.0,0,1.0,,8
880,2,5,50,0,8,1,0.6000000000000005,6.000000000000005,339.0,0,1.0,,8
881,3,5,50,1,15,0,4.799999999999999,53.99999999999999,1545.0,0,1.8,,16
1078,0,6,50,1,7,0,9.15933995315754e-16,6.000000000000008,345.0,0,1.8,,8
1079,1,6,50,0,10,1,1.8000000000000005,18.0,447.0,0,1.0,,10
1080,2,6,50,0,8,0,0.6000000000000003,6.000000000000003,393.0,4,0.9,,8
1081,3,6,50,0,11,0,2.399999999999997,23.99999999999997,897.0,3,0.9,,11
1250,0,7,50,2,9,7,1.2,24.0,639.0,0,1.8,,11
1251,1,7,50,0,8,3,0.5999999999999989,5.9999999999999885,525.0,1,1.8,,8
1252,2,7,50,0,14,1,4.200000000000004,42.00000000000004,1767.0,2,1.5,,14
1165,3,7,21,1,2,1,0.0,5.000000000000002,155.0,2,-1.1,,3
1285,0,8,9,2,0,0,0.0,11.0,83.0,0,-0.1999999999999999,,2
1304,1,8,15,0,1,0,0.0,0.0,87.0,0,-1.0,,1
1347,2,8,50,0,11,0,2.399999999999998,23.99999999999998,861.0,0,1.0,,11
1318,3,8,21,0,2,0,0.0,0.0,120.0,0,-1.0,,2
1530,0,9,50,2,17,1,6.000000000000004,72.00000000000004,2289.0,1,1.8,,19
1531,1,9,50,0,7,2,5.828670879282072e-16,5.828670879282072e-15,345.0,4,0.9,,7
1521,2,9,45,0,6,2,0.0,0.0,294.0,2,-1.1,,6
1503,3,9,39,1,5,2,0.0,5.000000000000002,296.0,4,-1.1,,6
1711,0,10,50,1,17,1,6.000000000000003,66.00000000000001,1989.0,0,1.0,,18
1712,1,10,50,0,8,1,0.6000000000000003,6.000000000000003,453.0,0,1.0,,8
1658,2,10,32,1,4,2,0.0,5.999999999999993,306.0,0,-0.1999999999999999,,5
1713,3,10,50,0,8,4,0.6000000000000008,6.000000000000007,387.0,4,0.9,,8
1906,0,11,50,1,8,3,0.6000000000000008,12.000000000000004,399.0,0,1.0,,9
1907,1,11,50,1,8,2,0.6000000000000001,12.000000000000002,399.0,0,1.8,,9
1908,2,11,50,0,15,0,4.800000000000001,48.00000000000001,1575.0,0,1.0,,15
1893,3,11,45,0,6,0,0.0,0.0,324.0,2,-1.1,,6
1941,0,12,9,2,0,0,0.0,11.0,83.0,3,-1.1,,2
2049,1,12,50,0,9,0,1.1999999999999993,11.999999999999991,459.0,0,1.0,,9
2050,2,12,50,0,10,0,1.7999999999999985,17.999999999999982,603.0,1,1.8,,10
2016,3,12,33,0,4,0,0.0,0.0,222.0,4,-1.1,,4
2227,0,13,45,0,6,2,0.0,0.0,258.0,4,-1.1,,6
2243,1,13,50,0,7,1,9.15933995315754e-16,9.15933995315754e-15,303.0,0,1.0,,7
2244,2,13,50,0,8,2,0.5999999999999984,5.999999999999984,555.0,1,1.8,,8
2245,3,13,50,0,14,0,4.200000000000002,42.000000000000014,1269.0,0,1.0,,14
2278,0,14,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,,1
2402,1,14,50,0,9,0,1.199999999999999,11.99999999999999,507.0,1,0.9,,9
2403,2,14,50,1,9,0,1.199999999999998,17.99999999999998,603.0,0,1.8,,10
2404,3,14,50,0,9,0,1.1999999999999993,11.999999999999991,471.0,0,1.0,,9
2585,0,15,50,3,14,1,4.200000000000001,60.00000000000001,1473.0,0,1.8,,17
2586,1,15,50,0,8,3,0.6000000000000004,6.000000000000004,357.0,1,1.8,,8
2587,2,15,50,0,8,1,0.5999999999999984,5.999999999999984,573.0,4,0.9,,8
2536,3,15,33,1,4,1,0.0,5.000000000000006,215.0,0,-1.0,,5
2762,0,16,50,1,8,6,0.6000000000000002,12.000000000000002,519.0,1,1.8,,9
2763,1,16,50,0,8,2,0.6000000000000001,6.000000000000001,441.0,0,1.0,,8
2764,2,16,50,0,15,0,4.800000000000004,48.00000000000004,1689.0,4,0.9,,15
2695,3,16,27,1,3,2,0.0,5.000000000000003,194.0,2,-1.1,,4
2939,0,17,50,0,8,2,0.6000000000000009,6.000000000000008,357.0,3,0.9,,8
2870,1,17,27,0,3,0,0.0,0.0,123.0,2,-1.1,,3
2940,2,17,50,1,9,2,1.1999999999999966,17.999999999999964,831.0,0,1.0,,10
2941,3,17,50,0,14,0,4.1999999999999975,41.99999999999997,1155.0,0,1.0,,14
3134,0,18,50,0,8,1,0.600000000000001,6.00000000000001,387.0,0,1.0,,8
3135,1,18,50,0,8,1,0.6000000000000005,6.000000000000005,405.0,0,1.0,,8
3120,2,18,45,0,6,3,0.0,0.0,390.0,2,-1.1,,6
3136,3,18,50,0,15,0,4.799999999999998,47.99999999999998,1323.0,1,1.8,,15
3305,0,19,50,1,9,3,1.1999999999999993,17.999999999999993,591.0,0,1.8,,10
3218,1,19,21,1,2,0,0.0,5.000000000000002,101.0,0,-0.1999999999999999,,3
3306,2,19,50,1,11,0,2.399999999999998,29.999999999999982,777.0,0,1.8,,12
3307,3,19,50,1,7,0,0.0,5.9999999999999805,579.0,2,-0.1,,8
3412,0,20,27,1,3,3,0.0,5.000000000000003,176.0,0,-1.0,,4
3413,1,20,27,0,3,2,0.0,0.0,165.0,2,-1.1,,3
3410,2,20,26,0,3,2,0.0,0.0,243.0,1,-1.1,,3
3437,3,20,50,0,13,0,3.600000000000004,36.00000000000004,1833.0,0,1.0,,13
3612,0,21,50,0,8,3,0.6000000000000006,6.000000000000006,321.0,1,1.8,,8
3613,1,21,50,0,10,0,1.799999999999998,17.99999999999998,633.0,0,1.0,,10
3544,2,21,27,0,3,1,0.0,0.0,153.0,3,-1.1,,3
3614,3,21,50,1,12,1,2.9999999999999964,35.999999999999964,1593.0,0,1.0,,13
3811,0,22,50,0,8,3,0.6000000000000011,6.000000000000011,387.0,0,1.0,,8
3812,1,22,50,0,9,0,1.1999999999999988,11.999999999999988,513.0,2,0.9,,9
3813,2,22,50,0,8,1,0.6000000000000009,6.000000000000008,303.0,1,1.8,,8
3814,3,22,50,0,14,0,4.199999999999998,41.99999999999998,1521.0,1,1.8,,14
3895,0,23,21,2,2,0,0.0,11.0,191.0,0,-0.1999999999999999,,4
3983,1,23,50,0,9,0,1.1999999999999995,11.999999999999996,381.0,0,1.0,,9
3984,2,23,50,0,9,0,1.2000000000000004,12.000000000000004,327.0,1,1.8,,9
3985,3,23,50,1,7,0,6.938893903907228e-16,6.000000000000006,285.0,0,1.0,,8
4154,0,24,50,0,7,8,5.828670879282072e-16,5.828670879282072e-15,465.0,1,0.9,,7
4155,1,24,50,1,8,1,0.5999999999999998,11.999999999999996,447.0,0,1.8,,9
4156,2,24,50,0,16,0,5.400000000000008,54.00000000000007,2013.0,1,0.9,,16
4069,3,24,21,1,2,1,0.0,5.000000000000001,173.0,2,-1.1,,3
4349,0,25,50,0,8,3,0.6000000000000006,6.000000000000006,381.0,1,1.8,,8
4334,1,25,45,0,6,1,0.0,0.0,294.0,4,-1.1,,6
4350,2,25,50,1,9,2,1.199999999999998,17.99999999999998,699.0,0,1.0,,10
4351,3,25,50,0,14,0,4.1999999999999975,41.99999999999997,1119.0,1,1.8,,14
4408,0,26,15,2,1,1,0.0,11.0,98.0,0,-0.1999999999999999,,3
4480,1,26,50,0,10,0,1.7999999999999967,17.999999999999964,789.0,0,1.0,,10
4481,2,26,50,1,14,0,4.199999999999998,47.99999999999998,1425.0,0,1.8,,15
4411,3,26,15,1,1,1,0.0,5.000000000000002,86.0,0,-0.1999999999999999,,2
4678,0,27,50,0,8,1,0.6000000000000009,6.000000000000008,357.0,1,1.8,,8
4679,1,27,50,0,9,0,1.1999999999999993,11.999999999999991,483.0,2,0.9,,9
4680,2,27,50,0,8,4,0.5999999999999994,5.999999999999994,495.0,3,0.9,,8
4681,3,27,50,1,13,0,3.599999999999997,41.99999999999997,1179.0,0,1.8,,14
4858,0,28,45,0,6,1,0.0,0.0,300.0,2,-1.1,,6
4874,1,28,50,0,8,1,0.6000000000000009,6.000000000000008,333.0,1,0.9,,8
4875,2,28,50,0,14,0,4.199999999999997,41.999999999999964,1161.0,1,1.8,,14
4876,3,28,50,0,8,1,0.6000000000000003,6.000000000000003,399.0,0,1.0,,8
5073,0,29,50,0,8,2,0.6000000000000008,6.000000000000007,387.0,0,1.0,,8
5074,1,29,50,0,8,1,0.600000000000001,6.00000000000001,351.0,0,1.0,,8
5075,2,29,50,0,15,0,4.799999999999998,47.99999999999998,1227.0,0,1.0,,15
5076,3,29,50,0,8,1,0.6000000000000002,6.000000000000002,399.0,2,0.9,,8
5217,0,30,50,1,8,2,0.6000000000000001,12.000000000000002,543.0,0,1.0,,9
5158,1,30,21,0,2,1,0.0,0.0,108.0,2,-1.1,,2
5218,2,30,50,1,13,0,3.5999999999999983,41.99999999999998,1719.0,4,0.9,,14
5160,3,30,21,1,2,0,0.0,5.000000000000001,155.0,0,-1.0,,3
5415,0,31,50,0,8,2,0.6000000000000009,6.000000000000008,381.0,0,1.0,,8
5416,1,31,50,0,8,0,0.6000000000000003,6.000000000000003,351.0,1,0.9,,8
5417,2,31,50,0,10,2,1.7999999999999998,17.999999999999996,447.0,1,1.8,,10
5418,3,31,50,0,12,0,2.999999999999997,29.999999999999968,1311.0,0,1.0,,12
5615,0,32,50,0,8,2,0.600000000000001,6.00000000000001,387.0,0,1.0,,8
5616,1,32,50,0,10,0,1.799999999999998,17.99999999999998,579.0,1,0.9,,10
5617,2,32,50,0,7,2,2.498001805406602e-16,2.4980018054066026e-15,351.0,4,0.9,,7
5618,3,32,50,1,13,0,3.599999999999997,41.99999999999997,1425.0,0,1.0,,14
5798,0,33,50,1,9,3,1.2000000000000006,18.000000000000007,375.0,0,1.0,,10
5799,1,33,50,0,8,2,0.6000000000000001,6.000000000000001,435.0,2,1.5,,8
5800,2,33,50,0,13,0,3.600000000000003,36.00000000000003,1689.0,0,1.0,,13
5746,3,33,32,1,4,0,0.0,5.999999999999997,312.0,2,-1.1,,5
5992,0,34,50,1,8,3,0.6000000000000008,12.000000000000004,447.0,0,1.0,,9
5993,1,34,50,1,8,1,0.6000000000000005,12.000000000000004,345.0,0,1.8,,9
5994,2,34,50,0,14,1,4.199999999999998,41.99999999999998,1419.0,4,0.9,,14
5976,3,34,44,1,6,0,0.0,5.999999999999997,372.0,0,-0.1999999999999999,,7
6175,0,35,50,2,8,3,0.600000000000001,18.000000000000007,411.0,0,1.8,,10
6124,1,35,33,0,4,2,0.0,0.0,246.0,2,-1.1,,4
6176,2,35,50,0,15,0,4.800000000000001,48.00000000000001,1611.0,0,1.0,,15
6177,3,35,50,0,7,1,0.0,0.0,579.0,2,-0.1,,7
6358,0,36,50,1,8,2,0.5999999999999999,11.999999999999996,531.0,3,0.9,,9
6359,1,36,50,0,10,4,1.799999999999998,17.99999999999998,657.0,4,1.5,,10
6308,2,36,33,0,4,2,0.0,0.0,186.0,3,-1.1,,4
6360,3,36,50,0,14,1,4.199999999999998,41.99999999999998,1389.0,4,0.9,,14
6557,0,37,50,1,7,2,4.718447854656915e-16,6.000000000000004,363.0,4,0.9,,8
6558,1,37,50,0,8,0,0.6000000000000005,6.000000000000005,279.0,0,1.0,,8
6559,2,37,50,0,7,2,5.828670879282072e-16,5.828670879282072e-15,393.0,3,0.9,,7
6560,3,37,50,0,15,0,4.800000000000001,48.00000000000001,1431.0,0,1.0,,15
6735,0,38,50,3,13,2,3.5999999999999983,53.99999999999999,1449.0,0,1.0,,16
6736,1,38,50,0,9,2,1.1999999999999993,11.999999999999991,549.0,0,1.0,,9
6737,2,38,50,0,7,3,0.0,0.0,459.0,0,0.0,,7
6668,3,38,27,0,3,0,0.0,0.0,117.0,2,-1.1,,3
6929,0,39,50,0,8,3,0.600000000000001,6.00000000000001,387.0,4,1.1,,8
6930,1,39,50,0,8,1,0.6000000000000002,6.000000000000002,351.0,1,1.8,,8
6912,2,39,44,0,6,4,0.0,0.0,420.0,3,-1.1,,6
6931,3,39,50,0,15,0,4.800000000000002,48.000000000000014,1545.0,0,1.0,,15
7012,0,40,21,0,2,2,0.0,0.0,138.0,2,-1.1,,2
7067,1,40,39,0,5,0,0.0,0.0,207.0,0,-1.0,,5
7090,2,40,50,1,10,1,1.7999999999999967,23.999999999999968,1131.0,0,1.0,,11
7091,3,40,50,0,11,1,2.399999999999998,23.99999999999998,921.0,0,1.0,,11
7288,0,41,50,0,8,4,0.6000000000000008,6.000000000000007,387.0,0,1.0,,8
7289,1,41,50,0,14,0,4.200000000000001,42.00000000000001,1611.0,1,0.9,,14
7290,2,41,50,0,8,1,0.5999999999999995,5.999999999999995,453.0,1,1.8,,8
7291,3,41,50,0,9,2,1.1999999999999995,11.999999999999996,477.0,0,1.0,,9
7324,0,42,9,2,0,0,0.0,11.0,83.0,3,-1.1,,2
7361,1,42,21,1,2,0,0.0,5.000000000000002,119.0,0,-0.1999999999999999,,3
7420,2,42,50,0,10,0,1.799999999999999,17.99999999999999,663.0,0,1.0,,10
7421,3,42,50,1,8,1,0.6000000000000001,12.000000000000002,411.0,0,1.0,,9
7614,0,43,50,2,11,1,2.3999999999999986,35.999999999999986,777.0,0,1.8,,13
7615,1,43,50,0,9,0,1.2,11.999999999999998,477.0,1,1.8,,9
7616,2,43,50,1,8,0,0.5999999999999998,11.999999999999996,477.0,0,1.0,,9
7601,3,43,45,0,6,2,0.0,0.0,318.0,2,-1.1,,6
7756,0,44,50,1,11,0,2.3999999999999977,29.99999999999997,939.0,0,1.0,,12
7720,1,44,32,2,4,0,0.0,11.999999999999991,390.0,3,-1.1,,6
7757,2,44,50,2,10,0,1.7999999999999972,29.99999999999997,801.0,0,1.8,,12
7652,3,44,9,0,0,0,0.0,0.0,36.0,0,-1.0,,0
7954,0,45,50,0,8,2,0.6000000000000011,6.000000000000011,357.0,1,1.8,,8
7955,1,45,50,1,7,0,0.0,5.999999999999995,447.0,0,0.8,,8
7956,2,45,50,1,8,2,0.6000000000000003,12.000000000000002,447.0,0,1.8,,9
7957,3,45,50,1,12,0,2.999999999999997,35.999999999999964,1377.0,0,1.8,,13
8154,0,46,50,1,8,4,0.6000000000000009,12.000000000000009,417.0,0,1.8,,9
8155,1,46,50,0,14,0,4.199999999999998,41.99999999999998,1491.0,1,0.9,,14
8156,2,46,50,0,7,0,2.498001805406602e-16,2.4980018054066026e-15,345.0,0,1.0,,7
8157,3,46,50,0,10,0,1.799999999999999,17.99999999999999,531.0,0,1.0,,10
8343,0,47,50,2,9,3,1.2000000000000002,24.000000000000004,507.0,1,1.8,,11
8344,1,47,50,1,8,1,0.6000000000000005,12.000000000000004,375.0,0,1.8,,9
8345,2,47,50,0,13,1,3.599999999999999,35.99999999999999,1563.0,2,1.9,,13
8309,3,47,38,0,5,1,0.0,0.0,339.0,2,-1.1,,5
