,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
80,0,1,22,1,2,1,0.0,5.000000000000001,173.0,0,-1.0,12,3
118,1,1,40,0,5,0,0.0,0.0,201.0,1,-1.1,21,5
117,2,1,39,0,5,0,0.0,0.0,351.0,0,-1.0,17,5
83,3,1,22,0,2,0,0.0,0.0,108.0,2,-1.1,10,2
237,0,2,50,1,11,0,2.399999999999997,29.999999999999968,945.0,0,1.0,19,12
152,1,2,9,1,0,0,0.0,5.000000000000001,41.0,0,-0.1999999999999999,5,1
220,2,2,33,0,4,0,0.0,0.0,228.0,2,-1.1,16,4
208,3,2,27,1,3,0,0.0,5.0,230.0,0,-1.0,13,4
418,0,3,50,0,12,5,2.9999999999999973,29.99999999999997,1191.0,0,1.0,30,12
419,1,3,50,0,9,1,1.199999999999999,11.99999999999999,501.0,3,0.9,27,9
420,2,3,50,0,11,4,2.399999999999997,23.99999999999997,747.0,2,1.5,24,11
369,3,3,33,1,4,1,0.0,5.000000000000001,251.0,0,-1.0,17,5
607,0,4,50,0,11,0,2.3999999999999977,23.99999999999997,987.0,0,1.0,23,11
608,1,4,50,0,9,1,1.2000000000000004,12.000000000000004,375.0,1,1.8,21,9
609,2,4,50,0,8,1,0.6000000000000005,6.000000000000005,381.0,0,1.0,23,8
576,3,4,39,2,5,1,0.0,11.0,326.0,0,-0.1999999999999999,18,7
744,0,5,50,1,9,2,1.1999999999999995,17.999999999999993,561.0,0,1.0,25,10
667,1,5,15,0,1,1,0.0,0.0,99.0,0,-1.0,8,1
745,2,5,50,1,10,1,1.7999999999999985,23.999999999999982,759.0,0,1.0,23,11
687,3,5,21,1,2,0,0.0,5.000000000000001,179.0,4,-1.1,11,3
826,0,6,21,1,2,1,0.0,5.000000000000002,143.0,0,-0.1999999999999999,12,3
845,1,6,27,0,3,1,0.0,0.0,123.0,4,-1.1,12,3
875,2,6,50,1,9,1,1.199999999999998,17.99999999999998,759.0,0,1.0,19,10
857,3,6,32,1,4,0,0.0,5.9999999999999885,354.0,0,-1.0,15,5
1044,0,7,50,0,10,0,1.799999999999998,17.99999999999998,591.0,0,1.0,17,10
1045,1,7,50,1,9,0,1.199999999999997,17.99999999999997,699.0,0,1.0,18,10
958,2,7,21,0,2,0,0.0,0.0,102.0,0,-1.0,13,2
1046,3,7,50,1,7,0,0.0,5.999999999999998,417.0,0,0.8,18,8
1221,0,8,50,0,9,2,1.2000000000000002,12.000000000000002,483.0,0,1.0,21,9
1152,1,8,27,0,3,0,0.0,0.0,177.0,0,-1.0,13,3
1222,2,8,50,0,9,1,1.1999999999999995,11.999999999999996,405.0,0,1.0,23,9
1223,3,8,50,0,9,0,1.1999999999999984,11.999999999999984,663.0,0,1.0,24,9
1376,0,9,50,1,8,1,0.6000000000000001,12.000000000000002,525.0,0,1.0,25,9
1342,1,9,33,1,4,0,0.0,5.000000000000002,221.0,0,-0.1999999999999999,13,5
1377,2,9,50,0,10,0,1.7999999999999985,17.999999999999982,669.0,0,1.0,23,10
