day,baseline,egalitarian,maximin,utilitarian
1,7.417208604302151,7.3721860930465235,7.40520260130065,7.432216108054027
2,7.758500000000001,7.656500000000001,7.725500000000001,7.797500000000001
3,8.6155,8.3305,8.3335,8.8645
4,9.0105,8.7225,8.6475,9.3075
5,9.0995,8.8745,8.7305,9.4295
6,9.2245,8.9965,8.7625,9.5815
7,9.3855,9.2565,9.0105,9.7905
8,9.8195,9.5675,9.1295,10.1765
9,10.147,9.777,9.212,10.336999999999998
10,10.701739850869926,10.415135929463629,9.429028132992327,10.288560885608854
11,10.875621890547263,10.561351947097723,9.641304347826088,10.466420664206643
12,11.144278606965173,10.826598089639969,9.71547314578005,10.72841328413284
13,11.373134328358207,11.043350477590007,10.050511508951406,11.043542435424353
14,11.641791044776118,11.202792064658338,10.101662404092071,11.314391143911438
15,12.004975124378108,11.47685525349008,10.119565217391303,11.576383763837637
16,12.284482758620687,12.085533262935584,10.306948109058926,11.60954712362301
17,12.612068965517238,12.314677930306228,10.56338028169014,11.88004895960832
18,12.715517241379308,12.556494192185848,10.72007042253521,12.194614443084452
19,12.93965517241379,12.79197465681098,10.860915492957744,12.634026927784575
20,13.232758620689653,13.071805702217524,10.70070422535211,12.816401468788245
21,13.433093525179851,13.469904963041179,10.82874889086069,13.208899876390602
22,14.171990171990167,14.007132667617684,10.879898862199745,13.271334792122534
23,14.321867321867318,14.211428571428566,11.18457648546144,13.518599562363235
24,14.707616707616701,14.38571428571428,11.117572692793928,13.66083150984682
25,15.181818181818175,14.71428571428571,11.285714285714281,14.183807439824939
26,15.213759213759207,15.025714285714281,11.203539823008844,14.444201312910279
27,15.641089108910885,15.389367816091946,11.31096774193548,14.736607142857137
28,16.09677419354838,15.460803059273415,11.525773195876283,14.547794117647053
29,16.28225806451612,15.791586998087947,11.55670103092783,14.734317343173425
30,16.685483870967733,15.720841300191198,11.773195876288655,15.217712177121765
31,17.23387096774193,15.91395793499043,11.721649484536076,15.546125461254606
32,17.419354838709666,16.187380497131922,11.752577319587623,15.564575645756447
33,17.5673469387755,16.466150870406178,11.961130742049464,16.11153846153845
34,18.813793103448265,16.81329923273656,12.014492753623182,16.478527607361954
35,18.848275862068956,16.74936061381073,12.057971014492747,16.21472392638036
36,19.25517241379309,17.099744245524285,12.130434782608688,16.61349693251533
37,19.331034482758607,17.465473145780038,12.130434782608688,17.233128834355817
38,19.903448275862058,17.723785166240397,12.144927536231878,17.190184049079743
39,19.937062937062926,17.930232558139522,12.289672544080595,17.1139240506329
40,20.71910112359549,17.817589576547217,12.616393442622941,16.47999999999999
41,20.932584269662907,17.775244299674252,12.59999999999999,16.49999999999999
42,21.213483146067396,18.221498371335485,12.662295081967205,17.059999999999988
43,21.56179775280897,18.29641693811073,12.488524590163925,17.13999999999999
44,22.17977528089886,18.44951140065145,12.629508196721302,17.099999999999987
45,22.655172413793085,18.84768211920528,13.072916666666655,17.136363636363622
46,22.947368421052612,18.835937499999982,13.137614678899071,17.052631578947356
47,22.99999999999998,19.007812499999982,12.935779816513751,17.736842105263147
48,23.157894736842085,19.32031249999998,12.706422018348613,17.684210526315777
49,23.421052631578927,19.21093749999998,12.724770642201824,18.157894736842092
50,23.99999999999998,19.57031249999998,12.743119266055036,17.578947368421037
