,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
32,0,1,10,0,2,0,1.1,10.999999999999998,0,0.0,6,2
33,1,1,10,2,0,0,0.0,11.0,3,-1.2,7,2
66,0,2,9,0,2,0,1.0999999999999996,10.999999999999996,0,0.0,6,2
67,1,2,9,2,0,0,0.0,11.0,4,-1.2,5,2
124,0,3,15,1,2,0,0.5000000000000001,11.0,0,1.0,6,3
125,1,3,15,1,1,0,0.0,5.000000000000002,4,-1.2,10,2
230,0,4,27,0,5,0,1.0999999999999996,10.999999999999996,2,-0.2,16,5
231,1,4,27,0,3,1,0.0,0.0,0,-1.0,16,3
311,3,5,20,0,4,0,1.1999999999999995,11.999999999999996,0,0.0,11,4
312,0,5,21,0,2,1,0.0,0.0,0,-1.0,11,2
369,0,6,15,0,3,0,1.1,10.999999999999998,0,0.0,8,3
370,1,6,15,1,1,0,0.0,5.000000000000002,0,0.0,8,2
403,0,7,9,0,1,0,0.5000000000000002,5.000000000000002,2,-0.2,6,1
404,1,7,9,0,0,0,0.0,0.0,0,-1.0,6,0
485,0,8,21,0,3,2,0.4999999999999998,4.999999999999997,0,0.0,13,3
486,1,8,21,1,2,2,0.0,5.000000000000003,0,-1.0,12,3
543,0,9,15,0,3,0,1.1,10.999999999999998,0,0.0,8,3
544,1,9,15,1,1,0,0.0,5.000000000000002,0,0.0,6,2
649,0,10,27,1,7,0,2.2999999999999985,28.999999999999982,0,1.0,5,8
650,1,10,27,0,3,0,0.0,0.0,0,-1.0,9,3
779,0,11,33,0,5,2,0.5000000000000001,5.000000000000001,0,0.0,14,5
780,1,11,33,1,4,0,0.0,5.000000000000004,0,-1.0,12,5
813,0,12,9,0,2,0,1.1,11.0,1,1.0,5,2
814,1,12,9,0,0,0,0.0,0.0,3,-1.2,5,0
847,0,13,9,0,2,0,1.1,10.999999999999998,0,0.0,5,2
848,1,13,9,1,0,1,0.0,5.000000000000001,0,-1.0,8,1
881,0,14,9,0,1,0,0.5000000000000001,5.000000000000001,0,0.0,4,1
882,1,14,9,1,0,0,0.0,5.000000000000001,0,0.0,3,1
917,2,15,9,0,1,0,0.5000000000000001,5.000000000000001,0,0.0,4,1
918,3,15,9,0,0,0,0.0,0.0,0,-1.0,6,0
975,0,16,15,0,3,0,1.1,10.999999999999998,4,-0.2,8,3
976,1,16,15,1,1,0,0.0,5.000000000000002,0,-1.0,6,2
1010,1,17,9,1,1,0,0.5000000000000002,11.0,0,1.0,7,2
1011,2,17,9,1,0,0,0.0,5.000000000000001,0,0.0,8,1
1044,0,18,9,0,1,0,0.5000000000000001,5.000000000000001,0,0.0,6,1
1045,1,18,9,2,0,0,0.0,11.0,0,0.0,6,2
1150,0,19,27,0,7,0,2.2999999999999985,22.999999999999982,0,0.0,12,7
1151,1,19,27,1,3,0,0.0,5.000000000000003,0,-1.0,14,4
1328,0,20,45,1,10,0,2.299999999999997,28.99999999999997,0,1.0,19,11
1329,1,20,45,0,6,0,0.0,0.0,0,-1.0,14,6
1410,0,21,21,1,3,0,0.5000000000000002,11.0,0,1.0,6,4
1411,1,21,21,1,2,0,0.0,5.000000000000002,0,0.0,9,3
1493,1,22,21,0,3,0,0.5000000000000004,5.000000000000004,0,0.0,7,3
1494,2,22,21,0,2,0,0.0,0.0,0,-1.0,8,2
1624,1,23,33,0,6,1,1.1,10.999999999999998,0,0.0,17,6
1625,2,23,33,0,4,1,0.0,0.0,1,-1.2,15,4
1779,1,24,39,0,6,0,0.5000000000000006,5.000000000000005,0,0.0,16,6
1780,2,24,39,0,5,0,0.0,0.0,3,-1.2,15,5
1935,2,25,39,0,6,1,0.5000000000000006,5.000000000000005,0,0.0,21,6
1936,3,25,39,1,5,0,0.0,5.000000000000001,0,-1.0,23,6
1993,0,26,15,0,2,0,0.5,5.0,0,0.0,7,2
1994,1,26,15,0,1,0,0.0,0.0,0,-1.0,9,1
2027,0,27,9,0,2,0,1.1,11.0,1,1.0,5,2
2028,1,27,9,0,0,0,0.0,0.0,0,-1.0,6,0
2060,3,28,8,0,2,0,1.1999999999999995,11.999999999999996,0,0.0,6,2
2061,0,28,9,1,0,1,0.0,5.000000000000001,0,0.0,4,1
2094,0,29,9,0,1,1,0.5000000000000001,5.000000000000001,4,0.5,6,1
2095,1,29,9,0,0,1,0.0,0.0,0,-1.0,6,0
2152,0,30,15,0,3,0,1.0999999999999996,10.999999999999996,0,0.0,8,3
2153,1,30,15,0,1,0,0.0,0.0,0,-1.0,8,1
2186,0,31,9,1,1,0,0.5,11.0,0,1.0,5,2
2187,1,31,9,1,0,0,0.0,5.000000000000001,4,-1.2,9,1
2315,3,32,32,1,5,0,0.6000000000000001,12.000000000000002,0,0.0,12,6
2316,0,32,33,0,4,0,0.0,0.0,0,-1.0,14,4
2349,0,33,9,0,1,0,0.5000000000000001,5.000000000000001,2,-0.2,5,1
2350,1,33,9,0,0,0,0.0,0.0,0,-1.0,4,0
2432,1,34,21,1,3,0,0.5000000000000002,11.0,0,0.0,9,4
2433,2,34,21,0,2,0,0.0,0.0,0,-1.0,8,2
2492,2,35,15,1,2,0,0.5000000000000003,11.000000000000002,0,1.0,7,3
2493,3,35,15,0,1,0,0.0,0.0,0,-1.0,10,1
2623,1,36,33,0,5,0,0.5000000000000003,5.000000000000003,0,0.0,11,5
2624,2,36,33,1,4,0,0.0,5.000000000000003,0,0.0,12,5
2681,0,37,15,0,3,0,1.1,11.0,1,1.0,9,3
2682,1,37,15,1,1,0,0.0,5.000000000000002,0,0.0,8,2
2716,1,38,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,5,1
2717,2,38,9,1,0,0,0.0,5.000000000000001,0,0.0,5,1
2775,1,39,15,0,2,0,0.5000000000000003,5.000000000000003,0,0.0,6,2
2776,2,39,15,0,1,0,0.0,0.0,1,-1.2,8,1
2859,2,40,21,0,3,0,0.5000000000000001,5.000000000000001,0,0.0,9,3
2860,3,40,21,2,2,0,0.0,11.0,0,0.0,11,4
2941,0,41,21,0,5,0,1.6999999999999995,16.999999999999996,0,0.0,10,5
2942,1,41,21,0,2,0,0.0,0.0,0,-1.0,9,2
2975,0,42,9,0,2,0,1.1,11.0,1,1.0,5,2
2976,1,42,9,1,0,0,0.0,5.000000000000001,0,-1.0,5,1
3033,0,43,15,0,4,1,1.6999999999999993,16.999999999999993,0,0.0,5,4
3034,1,43,15,0,1,0,0.0,0.0,0,-1.0,7,1
3069,2,44,9,0,1,0,0.5000000000000001,5.000000000000001,0,0.0,6,1
3070,3,44,9,1,0,0,0.0,5.000000000000001,0,-1.0,7,1
3151,0,45,21,0,6,0,2.2999999999999994,22.999999999999996,1,1.0,8,6
3152,1,45,21,1,2,0,0.0,5.000000000000002,0,0.0,11,3
3281,0,46,33,0,8,1,2.3,23.0,1,1.0,19,8
3282,1,46,33,0,4,1,0.0,0.0,2,-1.2,22,4
3363,0,47,21,0,3,0,0.4999999999999998,4.999999999999997,0,0.0,12,3
3364,1,47,21,0,2,0,0.0,0.0,0,-1.0,12,2
3471,2,48,27,0,4,0,0.5000000000000001,5.000000000000001,0,0.0,12,4
3472,3,48,27,0,3,0,0.0,0.0,1,-1.2,14,3
3507,2,49,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,7,1
3508,3,49,9,1,0,0,0.0,5.000000000000001,0,0.0,4,1
3613,0,50,27,0,5,0,1.1000000000000003,11.000000000000002,3,-0.2,15,5
3614,1,50,27,0,3,1,0.0,0.0,0,-1.0,14,3
3647,0,51,9,0,1,0,0.5000000000000001,5.000000000000001,1,-0.2,5,1
3648,1,51,9,2,0,0,0.0,11.0,0,0.0,5,2
3731,2,52,21,0,3,0,0.5000000000000006,5.000000000000005,0,0.0,10,3
3732,3,52,21,1,2,0,0.0,5.000000000000003,0,0.0,9,3
3765,0,53,9,0,2,0,1.1,11.0,1,1.0,4,2
3766,1,53,9,1,0,0,0.0,5.000000000000001,0,0.0,6,1
3799,0,54,9,0,1,0,0.5000000000000001,5.000000000000001,1,1.0,6,1
3800,1,54,9,1,0,0,0.0,5.000000000000001,0,0.0,5,1
3835,2,55,9,1,1,0,0.5000000000000002,11.0,0,0.0,6,2
3836,3,55,9,1,0,0,0.0,5.000000000000001,0,0.0,5,1
3941,0,56,27,0,4,0,0.5000000000000002,5.000000000000002,1,1.0,14,4
3942,1,56,27,1,3,0,0.0,5.000000000000003,0,0.0,14,4
4092,1,57,38,0,5,1,4.718447854656915e-16,4.718447854656915e-15,0,0.0,19,5
4093,2,57,38,0,5,1,0.0,0.0,0,-1.0,15,5
4198,0,58,27,0,4,0,0.5000000000000002,5.000000000000002,0,0.0,11,4
4199,1,58,27,1,3,0,0.0,5.000000000000003,0,0.0,9,4
4326,2,59,32,0,6,1,1.1999999999999993,11.999999999999991,0,0.0,17,6
4327,3,59,32,1,4,1,0.0,5.999999999999993,0,-1.0,17,5
4384,0,60,15,1,2,0,0.5000000000000002,11.0,0,1.0,6,3
4385,1,60,15,0,1,0,0.0,0.0,0,-1.0,8,1
4442,0,61,15,0,3,0,1.0999999999999996,10.999999999999996,0,0.0,8,3
4443,1,61,15,0,1,1,0.0,0.0,0,-1.0,8,1
4500,0,62,15,0,3,0,1.0999999999999996,10.999999999999996,0,0.0,8,3
4501,1,62,15,1,1,0,0.0,5.000000000000002,0,0.0,11,2
4607,1,63,27,0,4,0,0.5000000000000002,5.000000000000002,0,0.0,10,4
4608,2,63,27,1,3,0,0.0,5.000000000000004,2,-1.2,10,4
4641,0,64,9,0,1,0,0.5000000000000001,5.000000000000001,0,0.0,5,1
4642,1,64,9,1,0,0,0.0,5.000000000000001,0,-1.0,5,1
4677,2,65,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,6,1
4678,3,65,9,1,0,0,0.0,5.000000000000001,0,-1.0,5,1
4711,0,66,9,0,2,0,1.0999999999999996,10.999999999999996,0,0.0,3,2
4712,1,66,9,1,0,0,0.0,5.000000000000001,0,0.0,6,1
4865,0,67,39,0,7,0,1.0999999999999992,10.999999999999991,0,0.0,10,7
4866,1,67,39,0,5,0,0.0,0.0,0,-1.0,18,5
4899,0,68,9,0,2,0,1.1,11.0,1,1.0,5,2
4900,1,68,9,1,0,0,0.0,5.000000000000001,0,-1.0,6,1
4935,2,69,9,1,2,0,1.0999999999999996,16.999999999999996,0,0.0,5,3
4936,3,69,9,0,0,0,0.0,0.0,2,-1.2,6,0
4995,2,70,15,0,3,0,1.0999999999999996,10.999999999999996,0,0.0,11,3
4996,3,70,15,1,1,0,0.0,5.000000000000002,0,0.0,11,2
5029,0,71,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,6,1
5030,1,71,9,1,0,0,0.0,5.000000000000001,0,-1.0,3,1
5087,0,72,15,0,2,0,0.5000000000000001,5.000000000000001,0,0.0,6,2
5088,1,72,15,2,1,0,0.0,11.0,0,-1.0,10,3
5145,0,73,15,0,3,0,1.0999999999999996,10.999999999999996,0,0.0,6,3
5146,1,73,15,2,1,0,0.0,11.0,0,0.0,8,3
5179,0,74,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,5,1
5180,1,74,9,1,0,0,0.0,5.000000000000001,0,-1.0,4,1
5239,2,75,15,1,2,0,0.5000000000000003,11.000000000000002,0,1.0,7,3
5240,3,75,15,1,1,0,0.0,5.000000000000002,0,-1.0,6,2
5321,0,76,21,0,5,0,1.6999999999999993,16.999999999999993,1,-0.2,8,5
5322,1,76,21,1,2,0,0.0,5.000000000000001,0,0.0,8,3
5355,0,77,9,0,2,0,1.1,11.0,1,1.0,4,2
5356,1,77,9,1,0,0,0.0,5.000000000000001,0,-1.0,7,1
5389,0,78,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,6,1
5390,1,78,9,0,0,0,0.0,0.0,0,-1.0,7,0
5447,0,79,15,0,3,0,1.1,11.0,0,0.0,7,3
5448,1,79,15,3,1,0,0.0,17.0,2,-1.2,9,4
5481,0,80,9,0,2,0,1.1,11.0,1,1.0,6,2
5482,1,80,9,2,0,0,0.0,11.0,3,-1.2,5,2
5539,0,81,15,0,3,0,1.1,10.999999999999998,0,0.0,8,3
5540,1,81,15,1,1,0,0.0,5.000000000000002,0,-1.0,7,2
5575,2,82,9,0,1,0,0.5000000000000001,5.000000000000001,0,0.0,6,1
5576,3,82,9,0,0,0,0.0,0.0,0,-1.0,7,0
5609,0,83,9,0,2,0,1.1,10.999999999999998,0,0.0,8,2
5610,1,83,9,2,0,0,0.0,11.0,3,-1.2,6,2
5809,2,84,50,1,8,1,0.6000000000000003,12.000000000000002,0,2.0,18,9
5810,3,84,50,0,8,0,0.6000000000000008,6.000000000000007,0,1.0,15,8
6009,2,85,50,0,8,0,0.6000000000000009,6.000000000000008,0,1.0,15,8
6010,3,85,50,0,9,0,1.1999999999999975,11.999999999999975,0,1.0,13,9
6091,0,86,21,0,4,1,1.0999999999999996,10.999999999999996,0,0.0,11,4
6092,1,86,21,0,2,1,0.0,0.0,2,-1.2,12,2
6127,2,87,9,0,1,0,0.5000000000000002,5.000000000000002,0,0.0,6,1
6128,3,87,9,1,0,0,0.0,5.000000000000001,0,-1.0,6,1
6161,0,88,9,0,1,0,0.5000000000000001,5.000000000000001,0,0.0,4,1
6162,1,88,9,1,0,0,0.0,5.000000000000001,0,-1.0,6,1
6221,2,89,15,0,3,1,1.1,11.0,1,1.0,11,3
6222,3,89,15,0,1,1,0.0,0.0,1,-1.2,10,1
6303,0,90,21,0,6,0,2.2999999999999994,22.999999999999996,0,0.0,8,6
6304,1,90,21,0,2,1,0.0,0.0,0,-1.0,9,2
6387,2,91,21,0,3,0,0.5000000000000003,5.000000000000003,0,0.0,10,3
6388,3,91,21,1,2,0,0.0,5.000000000000001,0,-1.0,9,3
6423,2,92,9,0,1,0,0.5000000000000001,5.000000000000001,0,0.0,5,1
6424,3,92,9,2,0,0,0.0,11.0,0,0.0,7,2
6459,2,93,9,0,1,0,0.5000000000000002,5.000000000000002,1,-0.2,6,1
6460,3,93,9,1,0,0,0.0,5.000000000000001,0,-1.0,5,1
6495,2,94,9,0,1,0,0.5000000000000001,5.000000000000001,0,0.0,5,1
