,episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
0,1,50,0.05,8.025000000000002,0,1.0,0.20588235294117646,2.0,0.38235294117647056,0.3214285714285714,0.0,1.1,0.5558823529411766,0.6000000000000001,0.06617647058823528,3,0
0,2,50,0.05,4.000000000000002,0,1.0,0.09090909090909091,1.0,0.36363636363636365,0.4423076923076923,0.0,1.0,0.5575757575757577,0.6000000000000001,0.06814393939393937,3,0
0,3,50,0.05,7.775000000000002,0,1.0,0.1388888888888889,2.0,0.4444444444444444,0.5131578947368421,0.0,1.2999999999999998,0.5694444444444446,0.6000000000000001,0.11532539682539676,2,0
0,4,50,0.05,4.875,0,1.0,0.19298245614035087,3.0,0.8771929824561403,0.40384615384615385,0.15789473684210525,1.3,0.5649122807017546,0.6000000000000001,0.11017543859649116,3,0
0,5,50,0.05,12.675000000000002,0,1.0,0.23333333333333334,8.0,3.046666666666667,0.10483870967741926,0.0,2.0,0.7026666666666669,0.6000000000000004,0.1644223713646531,1,0
0,6,50,0.05,11.300000000000002,0,1.0,0.25,5.0,1.5476190476190477,0.21153846153846145,0.0,1.6999999999999993,0.629761904761905,0.6000000000000001,0.11271801491681002,1,0
0,7,50,0.05,11.450000000000003,0,1.0,0.19444444444444445,2.0,0.7222222222222222,0.3055555555555556,0.0,1.5999999999999996,0.736111111111111,0.7000000000000001,0.16580158730158712,1,0
0,8,50,0.05,7.375000000000003,0,1.0,0.19298245614035087,3.0,0.9473684210526315,0.35526315789473684,0.0,1.2000000000000002,0.6070175438596492,0.6000000000000002,0.07494987468671677,2,0
0,9,50,0.05,4.300000000000001,0,1.0,0.14285714285714285,2.0,0.5142857142857142,0.5833333333333334,0.0,1.2,0.622857142857143,0.6000000000000002,0.08710924369747897,3,0
0,10,50,0.05,8.850000000000003,0,1.0,0.20689655172413793,3.0,1.0344827586206897,0.3369565217391305,0.0,1.4999999999999996,0.646551724137931,0.6000000000000001,0.1284966727162733,2,0
0,11,50,0.05,10.950000000000003,0,1.0,0.18867924528301888,5.0,2.0283018867924527,0.2321428571428572,0.0,1.2,0.6424528301886794,0.6500000000000001,0.07332345013477082,2,0
0,12,50,0.05,10.125000000000004,0,1.0,0.19444444444444445,2.0,0.5277777777777778,0.29000000000000004,0.0,1.4,0.6194444444444446,0.6000000000000001,0.13989682539682533,2,0
0,13,50,0.05,8.800000000000002,0,1.0,0.205607476635514,5.0,2.0,0.25,0.0,1.4,0.6130841121495328,0.6000000000000001,0.09473285134896837,2,0
0,14,50,0.05,9.275000000000004,0,1.0,0.16666666666666666,1.0,0.4722222222222222,0.3369565217391305,0.0,1.1,0.5861111111111111,0.6000000000000001,0.06808730158730157,2,0
0,15,50,0.05,5.025000000000001,0,1.0,0.15789473684210525,2.0,0.7719298245614035,0.3928571428571429,0.0,1.1,0.5017543859649124,0.5000000000000002,0.0651754385964912,3,0
0,16,50,0.05,8.575000000000003,0,2.0,0.1951219512195122,4.0,1.646341463414634,0.2954545454545454,0.0975609756097561,1.7000000000000002,0.7134146341463415,0.7000000000000001,0.11204004817825955,2,0
0,17,50,0.05,11.650000000000002,0,1.0,0.23333333333333334,3.0,0.9,0.25,0.0,1.2,0.5416666666666667,0.5500000000000003,0.06620056497175138,1,0
0,18,50,0.05,8.325000000000003,0,1.0,0.22429906542056074,7.0,2.364485981308411,0.2717391304347826,0.5420560747663551,2.499999999999999,0.8317757009345793,0.7000000000000001,0.37237700581907907,3,0
0,19,50,0.05,11.400000000000002,0,1.0,0.18461538461538463,6.0,2.707692307692308,0.18103448275862077,0.0,1.5999999999999988,0.7499999999999998,0.7000000000000001,0.15414728682170514,2,0
0,20,50,0.05,10.725000000000003,0,1.0,0.16666666666666666,2.0,0.5833333333333334,0.27,0.0,1.2999999999999998,0.652777777777778,0.6500000000000001,0.1168492063492063,1,0
0,21,50,0.05,11.275000000000004,0,1.0,0.1388888888888889,2.0,0.5,0.2870370370370371,0.19444444444444445,1.2,0.602777777777778,0.6000000000000001,0.10256349206349205,1,0
0,22,50,0.05,11.450000000000003,0,1.0,0.1111111111111111,2.0,0.4722222222222222,0.3035714285714286,0.0,1.2999999999999998,0.5861111111111111,0.6000000000000001,0.09208730158730154,1,0
