,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
58,2,1,16,0,3,0,1.0999999999999994,10,0,0.0,7,3
59,3,1,16,1,1,0,0.0,5,0,-1.0,10,2
116,0,2,15,0,2,0,0.5000000000000003,5,0,0.0,9,2
117,1,2,15,0,1,0,0.0,0,0,-1.0,7,1
198,0,3,21,0,4,0,1.0999999999999988,10,3,-0.1,11,4
199,1,3,21,0,2,0,0.0,0,2,-1.1,11,2
256,0,4,15,0,2,0,0.5,5,0,0.0,10,2
257,1,4,15,1,1,0,0.0,5,0,-0.1999999999999999,8,2
290,0,5,9,1,1,0,0.5000000000000002,11,0,0.8,6,2
291,1,5,9,0,0,1,0.0,0,2,-1.1,6,0
326,2,6,9,0,1,0,0.5000000000000002,5,0,0.0,7,1
327,3,6,9,1,0,0,0.0,5,0,-1.0,7,1
384,0,7,15,0,2,0,0.5000000000000001,5,0,0.0,9,2
385,1,7,15,1,1,0,0.0,5,0,-0.1999999999999999,11,2
444,2,8,15,0,2,0,0.5000000000000002,5,1,0.8,8,2
445,3,8,15,1,1,0,0.0,5,0,-1.0,7,2
552,2,9,27,0,5,0,1.0999999999999992,10,4,-0.1,12,5
553,3,9,27,1,3,0,0.0,5,0,-1.0,15,4
634,0,10,21,1,3,0,0.5000000000000004,11,0,0.8,13,4
635,1,10,21,0,2,0,0.0,0,1,-1.1,11,2
668,0,11,9,0,1,0,0.5,5,0,0.0,5,1
669,1,11,9,1,0,0,0.0,5,0,-0.1999999999999999,5,1
728,2,12,15,0,3,0,1.0999999999999996,10,0,0.0,6,3
729,3,12,15,0,1,0,0.0,0,1,-1.1,8,1
786,0,13,15,0,2,0,0.5000000000000003,5,0,0.0,8,2
787,1,13,15,0,1,0,0.0,0,0,-1.0,9,1
868,0,14,21,1,3,0,0.5000000000000003,11,0,0.8,8,4
869,1,14,21,1,2,0,0.0,5,0,-0.1999999999999999,11,3
925,3,15,14,0,1,0,1.3877787807814454e-16,0,0,0.0,6,1
926,0,15,15,0,1,0,0.0,0,3,-1.1,8,1
961,2,16,9,1,1,0,0.5000000000000002,11,0,0.8,5,2
962,3,16,9,0,0,0,0.0,0,4,-1.1,5,0
1092,1,17,33,1,5,0,0.5000000000000001,11,0,0.8,13,6
1093,2,17,33,1,4,1,0.0,5,0,-0.1999999999999999,17,5
1247,1,18,39,0,8,0,1.6999999999999984,16,0,0.0,15,8
1248,2,18,39,1,5,1,0.0,5,0,-0.1999999999999999,21,6
1281,0,19,9,0,2,0,1.0999999999999996,10,4,-0.1,5,2
1282,1,19,9,0,0,0,0.0,0,2,-1.1,6,0
1388,1,20,27,0,4,0,0.4999999999999999,4,0,0.0,14,4
1389,2,20,27,0,3,0,0.0,0,2,-1.1,13,3
1588,2,21,50,0,9,0,1.2,11,1,1.675,21,9
1589,3,21,50,0,7,0,5.828670879282072e-16,0,0,1.0,19,7
1670,0,22,21,0,3,0,0.5,5,0,0.0,10,3
1671,1,22,21,1,2,0,0.0,5,0,-0.1999999999999999,11,3
1728,0,23,15,0,3,0,1.0999999999999996,10,4,-0.1,10,3
1729,1,23,15,0,1,0,0.0,0,2,-1.1,9,1
1788,2,24,15,0,3,0,1.1,11,2,-0.1,10,3
1789,3,24,15,1,1,0,0.0,5,0,-1.0,9,2
1822,0,25,9,1,1,0,0.5000000000000001,11,0,0.8,6,2
1823,1,25,9,1,0,0,0.0,5,0,-0.1999999999999999,6,1
1930,2,26,27,0,5,0,1.0999999999999992,10,0,0.0,11,5
1931,3,26,27,0,3,0,0.0,0,4,-1.1,17,3
2130,2,27,50,0,8,0,0.6000000000000005,6,0,1.0,21,8
2131,3,27,50,0,8,0,0.6000000000000004,6,0,1.0,21,8
2213,1,28,21,0,4,0,1.1,11,1,0.7266666666666667,12,4
2214,2,28,21,0,2,0,0.0,0,0,-1.0,15,2
2247,0,29,9,0,1,0,0.5000000000000002,5,0,0.0,6,1
2248,1,29,9,1,0,0,0.0,5,0,-0.1999999999999999,3,1
2281,0,30,9,1,1,0,0.5000000000000001,11,0,0.8,4,2
2282,1,30,9,1,0,0,0.0,5,0,-0.1999999999999999,5,1
2389,2,31,27,1,4,0,0.5000000000000004,11,0,0.8,10,5
2390,3,31,27,1,3,0,0.0,5,0,-1.0,9,4
2422,3,32,8,0,1,0,0.6000000000000001,6,0,0.0,4,1
2423,0,32,9,0,0,0,0.0,0,1,-1.1,6,0
2528,0,33,27,0,4,0,0.4999999999999999,4,3,-0.1,12,4
2529,1,33,27,0,3,0,0.0,0,0,-1.0,13,3
2562,0,34,9,0,1,0,0.5000000000000002,5,0,0.0,5,1
2563,1,34,9,1,0,0,0.0,5,0,-0.1999999999999999,7,1
2597,1,35,9,0,1,0,0.5000000000000001,5,0,0.0,5,1
2598,2,35,9,1,0,0,0.0,5,3,-1.1,5,1
2703,0,36,27,0,5,0,1.0999999999999996,10,4,-0.1,14,5
2704,1,36,27,0,3,0,0.0,0,0,-1.0,12,3
2785,0,37,21,0,3,0,0.5000000000000001,5,0,0.0,8,3
2786,1,37,21,0,2,0,0.0,0,0,-1.0,8,2
2845,2,38,15,0,3,0,1.1,10,0,0.0,10,3
2846,3,38,15,1,1,0,0.0,5,0,-1.0,11,2
2929,2,39,21,1,4,0,1.1,16,0,0.8,9,5
2930,3,39,21,1,2,0,0.0,5,0,-1.0,12,3
2963,0,40,9,0,1,0,0.5000000000000002,5,0,0.0,6,1
2964,1,40,9,1,0,0,0.0,5,0,-0.1999999999999999,5,1
2997,0,41,9,0,1,0,0.5000000000000001,5,0,0.0,5,1
2998,1,41,9,1,0,1,0.0,5,0,-0.1999999999999999,4,1
3055,0,42,15,0,2,0,0.5000000000000001,5,0,0.0,8,2
3056,1,42,15,1,1,0,0.0,5,0,-0.1999999999999999,9,2
3114,1,43,15,0,3,0,1.1,11,1,0.63,7,3
3115,2,43,15,1,1,0,0.0,5,0,-0.1999999999999999,8,2
3148,0,44,9,0,1,0,0.5000000000000001,5,0,0.0,7,1
3149,1,44,9,1,0,1,0.0,5,0,-0.1999999999999999,6,1
3230,0,45,21,0,5,0,1.6999999999999993,16,0,0.0,8,5
3231,1,45,21,0,2,0,0.0,0,2,-1.1,13,2
3290,2,46,15,0,2,0,0.5,5,4,-0.1,9,2
3291,3,46,15,1,1,0,0.0,5,0,-1.0,11,2
3348,0,47,15,0,3,0,1.0999999999999992,10,4,-0.1,8,3
3349,1,47,15,0,1,0,0.0,0,2,-1.1,10,1
3382,0,48,9,0,1,0,0.5000000000000001,5,1,0.8,6,1
3383,1,48,9,1,0,0,0.0,5,0,-0.1999999999999999,6,1
3418,2,49,9,0,1,0,0.5000000000000002,5,0,0.0,3,1
3419,3,49,9,0,0,0,0.0,0,4,-1.1,4,0
3452,0,50,9,0,1,0,0.5000000000000001,5,0,0.0,5,1
3453,1,50,9,0,0,0,0.0,0,0,-1.0,6,0
3510,0,51,15,0,3,0,1.0999999999999994,10,1,-0.1,7,3
3511,1,51,15,0,1,0,0.0,0,1,-1.1,11,1
3545,1,52,9,0,1,0,0.5000000000000002,5,0,0.0,5,1
3546,2,52,9,1,0,0,0.0,5,0,-0.1999999999999999,3,1
3579,0,53,9,0,1,0,0.5000000000000001,5,0,0.0,5,1
3580,1,53,9,1,0,0,0.0,5,0,-0.1999999999999999,7,1
3637,0,54,15,1,2,0,0.5000000000000003,11,0,0.8,6,3
3638,1,54,15,0,1,0,0.0,0,0,-1.0,8,1
3671,0,55,9,0,2,0,1.0999999999999996,10,1,-0.1,6,2
3672,1,55,9,1,0,0,0.0,5,0,-0.1999999999999999,5,1
3705,0,56,9,0,1,0,0.5000000000000002,5,0,0.0,6,1
3706,1,56,9,0,0,0,0.0,0,0,-1.0,6,0
3763,0,57,15,0,3,0,1.1,10,1,0.7466666666666667,8,3
3764,1,57,15,1,1,0,0.0,5,0,-0.1999999999999999,8,2
3821,0,58,15,0,3,0,1.1,10,1,0.7466666666666667,8,3
3822,1,58,15,0,1,0,0.0,0,0,-1.0,10,1
3903,0,59,21,0,3,0,0.5000000000000001,5,1,-0.1,10,3
3904,1,59,21,0,2,0,0.0,0,0,-1.0,11,2
3937,0,60,9,0,2,0,1.1,10,0,0.0,4,2
3938,1,60,9,0,0,0,0.0,0,0,-1.0,4,0
3997,2,61,15,1,2,0,0.5000000000000003,11,0,0.8,6,3
3998,3,61,15,0,1,0,0.0,0,4,-1.1,6,1
