,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
32,0,1,10,0,2,0,1.1,11,1,0.8,4,2
33,1,1,10,1,0,0,0.0,5,0,-0.1999999999999999,5,1
65,3,2,8,0,1,0,0.6000000000000001,6,0,0.0,4,1
66,0,2,9,0,0,0,0.0,0,0,-1.0,5,0
101,2,3,9,0,1,0,0.5000000000000001,5,1,0.8,6,1
102,3,3,9,1,0,0,0.0,5,0,-0.1999999999999999,5,1
158,3,4,14,0,2,0,0.6000000000000002,6,1,0.8,7,2
159,0,4,15,1,1,1,0.0,5,0,-1.0,8,2
308,0,5,38,0,8,0,1.7999999999999994,17,0,0.0,18,8
309,1,5,38,1,5,0,0.0,5,2,-1.1,19,6
392,2,6,21,0,4,0,1.1,11,0,0.0,9,4
393,3,6,21,1,2,0,0.0,5,0,-0.1999999999999999,11,3
428,2,7,9,1,1,0,0.5000000000000001,11,0,0.8,5,2
429,3,7,9,0,0,0,0.0,0,0,-1.0,7,0
485,3,8,14,0,2,0,0.6000000000000002,6,0,0.0,8,2
486,0,8,15,1,1,0,0.0,5,0,-0.1999999999999999,10,2
520,1,9,9,0,1,0,0.5000000000000002,5,0,0.0,5,1
521,2,9,9,1,0,0,0.0,5,0,-0.1999999999999999,6,1
578,0,10,15,0,3,0,1.0999999999999992,10,0,0.0,9,3
579,1,10,15,0,1,0,0.0,0,2,-1.1,10,1
684,0,11,27,0,5,0,1.0999999999999996,10,0,0.0,12,5
685,1,11,27,1,3,0,0.0,5,0,-0.1999999999999999,11,4
720,2,12,9,0,2,0,1.1,11,0,0.0,7,2
721,3,12,9,0,0,0,0.0,0,3,-1.1,5,0
827,1,13,27,0,5,0,1.0999999999999996,10,0,0.0,14,5
828,2,13,27,0,3,0,0.0,0,3,-1.1,15,3
863,2,14,9,0,1,0,0.5000000000000002,5,0,0.0,6,1
864,3,14,9,1,0,0,0.0,5,0,-0.1999999999999999,5,1
920,3,15,14,0,2,0,0.6000000000000002,6,0,0.0,6,2
921,0,15,15,1,1,0,0.0,5,0,-1.0,7,2
1002,0,16,21,0,4,0,1.0999999999999996,10,0,0.0,17,4
1003,1,16,21,0,2,0,0.0,0,0,-1.0,12,2
1062,2,17,15,1,2,0,0.5000000000000002,11,0,0.8,9,3
1063,3,17,15,0,1,0,0.0,0,1,-1.1,8,1
1169,1,18,27,0,4,1,0.5000000000000004,5,0,0.0,10,4
1170,2,18,27,0,3,0,0.0,0,3,-1.1,14,3
1299,0,19,33,0,6,0,1.0999999999999992,10,1,0.8,14,6
1300,1,19,33,1,4,0,0.0,5,0,-0.1999999999999999,11,5
1335,2,20,9,0,2,0,1.1,11,1,0.8,7,2
1336,3,20,9,0,0,0,0.0,0,2,-1.1,6,0
1371,2,21,9,0,1,0,0.5000000000000002,5,0,0.0,8,1
1372,3,21,9,0,0,1,0.0,0,0,-1.0,7,0
1407,2,22,9,0,1,0,0.5000000000000002,5,0,0.0,7,1
1408,3,22,9,0,0,0,0.0,0,1,-1.1,5,0
1537,0,23,33,1,6,0,1.0999999999999996,16,0,0.8,16,7
1538,1,23,33,0,4,0,0.0,0,1,-1.1,16,4
1573,2,24,9,0,1,0,0.5000000000000002,5,0,0.0,5,1
1574,3,24,9,0,0,0,0.0,0,3,-1.1,6,0
1606,3,25,8,0,1,0,0.6000000000000001,6,0,0.0,4,1
1607,0,25,9,1,0,0,0.0,5,0,-1.0,6,1
1762,2,26,39,0,7,0,1.0999999999999996,10,1,0.8,16,7
1763,3,26,39,0,5,0,0.0,0,2,-1.1,19,5
1892,0,27,33,1,7,0,1.6999999999999984,22,0,0.8,14,8
1893,1,27,33,1,4,1,0.0,5,0,-0.1999999999999999,13,5
2023,1,28,33,0,5,0,0.5000000000000006,5,0,0.0,15,5
2024,2,28,33,0,4,1,0.0,0,4,-1.1,18,4
2081,0,29,15,0,2,0,0.5000000000000001,5,0,0.0,7,2
2082,1,29,15,0,1,0,0.0,0,2,-1.1,10,1
2258,3,30,44,0,6,0,1.3877787807814454e-16,0,0,0.0,16,6
2259,0,30,45,0,6,0,0.0,0,0,-1.0,20,6
2412,0,31,39,0,8,0,1.6999999999999993,16,0,0.0,17,8
2413,1,31,39,0,5,1,0.0,0,2,-1.1,18,5
2445,3,32,8,0,1,0,0.6000000000000002,6,0,0.0,4,1
2446,0,32,9,1,0,0,0.0,5,0,-1.0,4,1
2527,0,33,21,1,3,0,0.5000000000000001,11,0,0.8,11,4
2528,1,33,21,0,2,0,0.0,0,4,-1.1,10,2
2584,3,34,14,0,3,0,1.1999999999999995,11,0,0.0,7,3
2585,0,34,15,1,1,0,0.0,5,0,-1.0,10,2
2641,3,35,14,1,1,0,2.498001805406602e-16,6,0,0.8,6,2
2642,0,35,15,1,1,0,0.0,5,0,-0.1999999999999999,7,2
2701,2,36,15,0,3,0,1.1,11,1,0.8,11,3
2702,3,36,15,1,1,0,0.0,5,0,-0.1999999999999999,9,2
2807,0,37,27,1,4,0,0.5,11,0,0.8,15,5
2808,1,37,27,0,3,0,0.0,0,2,-1.1,15,3
2841,0,38,9,1,2,0,1.1,16,0,0.8,5,3
