,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
162,0,1,50,1,9,0,1.3000000000000005,19.000000000000004,423.0,1,1.8,26,10
154,1,1,46,0,6,0,0.0,0.0,318.0,0,-1.0,23,6
163,2,1,50,0,8,0,0.6999999999999988,6.9999999999999885,537.0,0,1.0,18,8
83,3,1,22,0,2,0,0.0,0.0,114.0,3,-1.1,14,2
280,0,2,50,4,10,0,1.7999999999999967,41.999999999999964,1413.0,0,1.0,13,14
281,1,2,50,0,7,0,5.828670879282072e-16,5.828670879282072e-15,399.0,4,0.9,20,7
198,2,2,9,0,0,0,0.0,0.0,36.0,1,-1.1,6,0
199,3,2,9,1,0,1,0.0,5.000000000000001,47.0,0,-0.1999999999999999,4,1
474,0,3,50,1,9,1,1.1999999999999995,17.999999999999996,471.0,0,1.8,17,10
475,1,3,50,0,8,2,0.5999999999999992,5.999999999999992,501.0,0,1.0,24,8
476,2,3,50,0,12,0,2.999999999999997,29.999999999999968,1245.0,0,1.0,21,12
461,3,3,45,0,6,1,0.0,0.0,216.0,2,-1.1,20,6
617,0,4,50,0,9,3,1.1999999999999995,11.999999999999996,471.0,0,1.0,24,9
534,1,4,15,0,1,0,0.0,0.0,57.0,2,-1.1,8,1
618,2,4,50,0,7,0,0.0,0.0,741.0,0,0.0,18,7
572,3,4,27,0,3,0,0.0,0.0,123.0,1,-1.1,11,3
793,0,5,50,2,8,4,0.5999999999999984,17.999999999999982,627.0,0,1.8,22,10
724,1,5,27,0,3,1,0.0,0.0,147.0,2,-1.1,12,3
794,2,5,50,1,13,1,3.5999999999999965,41.999999999999964,1269.0,0,1.8,23,14
795,3,5,50,0,7,1,2.498001805406602e-16,2.4980018054066026e-15,339.0,0,1.0,21,7
936,0,6,50,0,8,1,0.6000000000000002,6.000000000000002,435.0,1,1.8,22,8
890,1,6,27,0,3,0,0.0,0.0,117.0,1,-1.1,14,3
937,2,6,50,0,8,0,0.5999999999999998,5.999999999999997,465.0,3,0.9,20,8
855,3,6,15,0,1,0,0.0,0.0,75.0,1,-1.1,10,1
1068,0,7,50,0,9,0,1.1999999999999995,11.999999999999996,435.0,1,1.8,20,9
1044,1,7,33,0,4,0,0.0,0.0,228.0,0,-1.0,11,4
1057,2,7,39,0,5,0,0.0,0.0,201.0,0,-1.0,14,5
973,3,7,9,2,0,0,0.0,11.0,65.0,0,-0.1999999999999999,6,2
1225,0,8,50,0,9,2,1.1999999999999995,11.999999999999996,495.0,0,1.0,24,9
1226,1,8,50,0,8,0,0.6000000000000006,6.000000000000006,363.0,0,1.0,20,8
1227,2,8,50,0,11,0,2.399999999999999,23.99999999999999,561.0,0,1.0,18,11
1104,3,8,9,0,0,0,0.0,0.0,36.0,3,-1.1,6,0
1384,0,9,50,0,8,2,0.6000000000000006,6.000000000000006,363.0,1,1.8,20,8
1385,1,9,50,0,9,1,1.1999999999999993,11.999999999999991,507.0,3,1.5,20,9
1386,2,9,50,1,11,0,2.3999999999999977,29.99999999999997,705.0,0,1.8,16,12
1263,3,9,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,7,1
1487,0,10,50,0,11,0,2.399999999999998,23.99999999999998,849.0,0,1.0,15,11
1457,1,10,21,1,2,0,0.0,5.000000000000003,125.0,0,-0.1999999999999999,11,3
1458,2,10,21,1,2,0,0.0,5.000000000000003,119.0,0,-0.1999999999999999,9,3
1422,3,10,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,7,1
1604,0,11,50,0,9,2,1.1999999999999995,11.999999999999996,513.0,0,1.0,12,9
