day,baseline,maximin,utilitarian
1,0.0,0.0,0.0
2,0.0065,0.018,0.0205
3,0.0455,0.133,0.0975
4,0.0515,0.2425,0.1585
5,0.063,0.467,0.231
6,0.1635,0.548,0.426
7,0.3155,0.792,0.594
8,0.399,1.057,0.7655
9,0.4525,1.2,0.994
10,1.0555555555555556,1.3526396719630958,1.2586989409984872
11,1.1296296296296295,1.5704766786263455,1.4195663136661625
12,1.3611111111111112,1.785912368275097,1.7048517520215634
13,1.5532407407407407,1.9707842132239877,1.9555256064690028
14,1.6550925925925926,2.1168631471040493,2.146900269541779
15,1.7453703703703705,2.248590466427473,2.2556732223903175
16,2.1256366723259763,2.440894568690096,2.3582317073170733
17,2.263157894736842,2.65814696485623,2.551829268292683
18,2.572156196943973,2.8412322274881516,2.875
19,2.7470288624787775,3.0228966986155483,3.1041666666666665
20,2.8421052631578947,3.15814696485623,3.230182926829268
21,2.937074829931973,3.304904051172708,3.342479674796748
22,3.221757322175732,3.517357222844345,3.4664256198347108
23,3.497907949790795,3.6766623207301175,3.681301652892562
24,3.705020920502092,3.86245110821382,3.9669421487603307
25,3.8577405857740588,4.055431131019037,4.172520661157025
26,3.9560669456066946,4.192049272116462,4.323863636363637
27,4.056485355648536,4.343082114735658,4.4421487603305785
28,4.295508274231678,4.581015719467956,4.580474934036939
29,4.534278959810875,4.658445440956652,4.7963060686015835
30,4.735224586288416,4.849775784753363,5.046437994722955
31,4.891252955082742,5.086696562032885,5.260158311345647
32,5.011820330969267,5.2424425634824665,5.415831134564644
33,5.1040189125295505,5.386308068459658,5.5373213340391745
34,5.351706036745407,5.591145833333333,5.672590199246096
35,5.540682414698162,5.651909722222222,5.8992999461497035
36,5.725428027901078,5.825520833333333,6.142703284868067
37,5.907419150285352,6.024305555555555,6.318255250403877
38,6.031496062992126,6.184027777777778,6.483037156704362
39,6.11578947368421,6.369624885635864,6.591594827586207
40,6.366071428571429,6.646420824295011,6.766500277315585
41,6.553701015965167,6.700650759219089,6.991125901275652
42,6.671988388969521,6.872017353579175,7.234608985024958
43,6.819303338171263,7.07592190889371,7.430948419301164
44,6.9851190476190474,7.248373101952278,7.578480310593456
45,7.068656716417911,7.4218928164196125,7.697661469933185
46,7.3310344827586205,7.707713125845737,7.895221646516983
47,7.538742023701003,7.7604871447902575,8.138169257340241
48,7.629899726526891,7.967523680649526,8.390903857225101
49,7.73746581586144,8.171853856562922,8.578583765112263
50,7.905195989061076,8.307129798903107,8.724812895797351
