,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
192,0,1,50,0,12,0,3.099999999999997,30.999999999999968,1023.0,1,0.9,20,12
193,1,1,50,0,9,2,1.2999999999999994,12.999999999999991,459.0,1,0.9,17,9
194,2,1,50,0,9,1,1.2999999999999978,12.999999999999975,669.0,1,1.8,16,9
195,3,1,50,0,8,2,0.7000000000000003,7.000000000000003,297.0,1,1.8,21,8
376,0,2,50,0,11,0,2.399999999999997,23.999999999999968,1077.0,1,0.9,22,11
377,1,2,50,1,7,0,5.828670879282072e-16,6.000000000000005,351.0,0,1.8,24,8
378,2,2,50,2,11,0,2.399999999999997,35.999999999999964,909.0,0,1.8,23,13
327,3,2,33,0,4,1,0.0,0.0,210.0,0,-1.0,14,4
553,0,3,50,0,9,1,1.199999999999998,11.99999999999998,591.0,0,1.0,24,9
484,1,3,27,0,3,2,0.0,0.0,171.0,0,-1.0,18,3
554,2,3,50,2,12,0,2.999999999999997,41.999999999999964,1335.0,0,1.8,21,14
555,3,3,50,0,8,2,0.6000000000000001,6.000000000000001,423.0,0,1.0,26,8
696,0,4,50,1,11,0,2.399999999999997,29.999999999999968,897.0,0,1.8,22,12
589,1,4,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
697,2,4,50,2,11,1,2.399999999999997,35.999999999999964,1137.0,0,1.0,22,13
663,3,4,33,0,4,2,0.0,0.0,228.0,3,-1.1,15,4
884,0,5,50,0,9,3,1.1999999999999995,11.999999999999996,417.0,0,1.0,26,9
851,1,5,39,0,5,1,0.0,0.0,273.0,4,-1.1,20,5
885,2,5,50,0,15,0,4.8,47.99999999999999,1407.0,0,1.0,27,15
886,3,5,50,0,7,2,0.0,0.0,555.0,0,0.0,27,7
1043,0,6,50,0,11,1,2.399999999999997,23.99999999999997,945.0,1,0.9,18,11
920,1,6,9,0,0,0,0.0,0.0,36.0,0,-1.0,6,0
1044,2,6,50,0,10,6,1.7999999999999976,17.999999999999975,723.0,0,1.0,13,10
1045,3,6,50,1,11,4,2.399999999999997,29.999999999999968,1017.0,0,1.8,19,12
1202,0,7,50,1,9,0,1.199999999999997,17.99999999999997,651.0,0,1.8,18,10
1203,1,7,50,0,9,1,1.199999999999997,11.99999999999997,855.0,0,1.0,21,9
1204,2,7,50,1,12,0,2.999999999999997,35.999999999999964,1011.0,0,1.8,16,13
1081,3,7,9,0,0,1,0.0,0.0,42.0,4,-1.1,7,0
