day,baseline,maximin,utilitarian
1,30.191095547773884,30.22711355677839,29.74087043521761
2,32.144000000000005,32.072,30.956000000000003
3,34.786,34.644999999999996,33.49
4,36.225,35.853,34.845
5,37.289,36.704,35.525
6,37.92700000000001,37.123,35.194
7,38.469,37.641,34.806000000000004
8,39.254,38.708000000000006,35.312
9,40.741,39.7935,36.742
10,41.9325275786679,41.40372368269804,38.89744676089863
11,43.566536128036276,42.737237130446374,40.031833353597754
12,44.63317301767231,43.65648767540249,40.64912583766525
13,45.74087197765789,44.499977940633876,41.315823747541266
14,46.94681610520446,45.33653370788235,42.22716630422977
15,47.897327404823656,46.33818740841319,43.39725218597253
16,49.24124561316317,48.15654527867648,45.63634803853457
17,50.75202954552152,49.34430403783033,46.888755772838564
18,51.62916666774183,49.92083320939031,47.40989155952915
19,52.5575135974393,50.41598459672501,47.90902790125639
20,53.52473568948146,51.06178655234101,48.70574852668612
21,54.74737715608808,52.118119558636664,49.72036836050583
22,56.800879265876596,53.78376353121781,52.342685836464085
23,58.01841453923268,54.67184354044897,53.114853526655125
24,58.87456262540295,55.28305414340821,53.90866340567392
25,59.75420334059582,55.57124249697784,54.49964689889997
26,60.547839826904735,56.034784558401824,55.08964685292189
27,61.41583171673816,56.83266594547471,56.032369593631614
28,63.41357657585651,58.78134935757845,59.272296276241875
29,64.63872339840185,59.32886185179784,60.058850910068486
30,65.68793650207843,60.2971655611129,60.60899059624738
31,66.59607281091853,60.42065343049677,61.13738058438786
32,67.14508108323884,60.72506575765383,61.76167549131479
33,67.89967852530253,61.4659755982455,62.77389330307703
34,69.6017490986883,63.41350004871629,65.67849049860173
35,70.74772751520317,63.895769247003,66.5776390457758
36,71.87033061383327,64.15864284090776,67.10475873495382
37,72.33801276647148,64.35997772802276,67.55157972210321
38,72.8225457945832,64.77804135467107,67.76976044571599
39,73.68836168205641,65.25373637777177,69.25451215669577
40,75.95500247527823,68.11000520231863,73.28323092751151
41,76.83475582842739,68.36397510627263,74.07782866932274
42,77.64491161517333,68.60677316014898,74.49932206139344
43,77.67415537348198,68.91725396131267,74.73608125366265
44,77.8970907569222,69.44388208482061,74.96632173461516
45,78.87704764820984,70.29168467089322,76.69820400286278
46,81.36869451060683,73.23278300219054,80.32304733757664
47,81.96232372930336,73.48027415536882,81.02389210739543
48,82.45385796542888,73.78421706900318,81.31194194130393
49,82.64620447180313,73.88713406817544,81.44888678791376
50,82.66803536546612,74.17175683426937,81.73722382023274
