day,baseline,maximin
1,15.353676838419208,15.29064532266133
2,16.5495,16.344
3,18.008499999999998,17.997999999999998
4,18.8465,19.274
5,19.878,19.6015
6,20.3275,19.5905
7,21.025,20.101
8,21.8615,20.7165
9,22.878999999999998,21.856347389558234
10,23.907567293042156,22.936951754385966
11,24.911122397155918,23.54714912280702
12,25.654647028948705,23.90844298245614
13,26.718131030980192,24.72861842105263
14,27.46470289487049,25.599780701754387
15,28.39766378872524,26.5905662013353
16,29.55635987590486,28.074474474474478
17,30.584281282316443,28.8996996996997
18,31.39968976215098,29.33213213213213
19,32.44984488107549,30.15135135135135
20,33.24250258531541,31.145945945945947
21,34.22440537745605,32.124340787523735
22,35.27505219206681,33.807151979565774
23,36.36534446764092,34.593869731800766
24,37.17849686847599,35.42081736909323
25,38.1758872651357,36.26628352490421
26,39.09342379958247,37.093869731800766
27,40.11442006269593,38.29019448939869
28,41.13336847654191,39.660972404730614
29,42.210859251449655,40.52956636005256
30,43.244596731681604,41.28580814717477
31,44.09225092250922,42.394875164257556
32,45.05113336847654,43.38239159001314
33,46.22140221402214,44.43035479632063
34,47.2010582010582,45.66131191432396
35,48.25608465608466,46.71285140562249
36,49.26296296296296,47.62048192771084
37,50.17513227513228,48.51673360107095
38,51.074603174603176,49.60899279188645
39,52.22022233986236,50.69463087248322
40,53.39660657476141,51.86206896551724
41,54.29639448568399,52.724137931034484
42,55.24602332979852,53.7762001352265
43,56.361611876988334,54.77687626774848
44,57.40349946977731,55.86206896551724
45,58.44774535809019,56.811103588354776
46,59.49416135881104,57.98298162014976
47,60.52653927813164,58.986385296119806
48,61.674097664543524,59.88223281143635
49,62.569532908704886,61.0279101429544
50,63.66454352441613,62.095302927161335
