,episode,end_day,epsilon,mean_reward,mean_loss,max_berries,mean_berries,max_berries_consumed,mean_berries_consumed,gini_berries_consumed,mean_berries_thrown,max_health,mean_health,median_health,variance_health,deceased,num_emerged_norms
0,1,50,0.05,24.8,0,1.0,0.29591836734693877,15.0,5.724489795918367,0.125,0.45918367346938777,4.899999999999998,1.73469387755102,1.5999999999999994,1.0639385651167665,0,0
0,2,50,0.05,23.05,0,1.0,0.28,14.0,5.7,0.13636363636363646,0.48,4.499999999999998,1.669999999999999,1.1999999999999997,1.4877777777777759,0,0
0,3,50,0.05,22.05,0,1.0,0.26,13.0,5.42,0.09090909090909083,0.94,3.599999999999997,1.5019999999999993,1.2999999999999992,0.8624202020202004,0,0
0,4,50,0.05,20.5,0,1.0,0.2,12.0,5.1,0.10000000000000009,0.0,3.099999999999997,1.3099999999999994,1.05,0.6186868686868671,0,0
0,5,50,0.05,23.3,0,1.0,0.25,14.0,5.45,0.10869565217391308,0.33,4.199999999999997,1.5199999999999994,1.3499999999999994,0.9105050505050488,0,0
0,6,50,0.05,21.450000000000003,0,1.0,0.22,12.0,5.2,0.0714285714285714,0.42,3.099999999999997,1.3699999999999992,1.2499999999999996,0.46111111111110986,0,0
0,7,50,0.05,16.15,0,1.0,0.18518518518518517,7.0,2.9444444444444446,0.3125,0.46296296296296297,2.5999999999999988,1.1685185185185185,0.7000000000000002,0.8433298392732348,1,0
0,8,50,0.05,21.3,0,1.0,0.24,12.0,5.25,0.0714285714285714,0.44,3.2999999999999985,1.3999999999999997,1.0,0.8850505050505038,0,0
0,9,50,0.05,23.8,0,1.0,0.27,14.0,5.88,0.10869565217391308,0.46,4.7,1.7779999999999996,0.9000000000000001,2.5310262626262614,0,0
0,10,50,0.05,17.55,0,2.0,0.40476190476190477,7.0,2.3333333333333335,0.38235294117647056,0.35714285714285715,2.999999999999999,1.1023809523809522,0.6500000000000001,0.8997502903600456,1,0
0,11,50,0.05,16.55,0,1.0,0.2037037037037037,8.0,2.685185185185185,0.32352941176470584,0.25925925925925924,2.899999999999999,1.0129629629629628,0.7000000000000002,0.6207721872816206,1,0
0,12,50,0.05,23.200000000000003,0,2.0,0.29,12.0,5.58,0.045454545454545414,0.46,3.2999999999999976,1.5979999999999996,1.25,0.9399959595959579,0,0
0,13,50,0.05,21.8,0,1.0,0.23,11.0,5.2,0.023809523809523725,0.33,2.899999999999998,1.3699999999999994,1.1999999999999997,0.5156565656565646,0,0
0,14,50,0.05,23.35,0,2.0,0.31,13.0,5.62,0.0652173913043479,0.48,3.999999999999997,1.6219999999999992,1.4999999999999996,1.238905050505048,0,0
0,15,50,0.05,12.8,0,1.0,0.1111111111111111,2.0,0.6111111111111112,0.5,0.0,1.4,0.6722222222222222,0.6500000000000001,0.20212418300653587,1,0
0,16,50,0.05,24.15,0,1.0,0.24,13.0,5.56,0.0652173913043479,0.48,3.599999999999997,1.5859999999999994,1.5999999999999996,0.6282868686868672,0,0
0,17,50,0.05,21.85,0,2.0,0.26,12.0,5.24,0.0714285714285714,0.41,3.1999999999999975,1.3939999999999995,1.1,0.7819838383838372,0,0
0,18,50,0.05,23.85,0,2.0,0.4,15.0,5.64,0.15217391304347827,0.34,4.8999999999999995,1.6339999999999995,0.9999999999999998,1.773983838383837,0,0
0,19,50,0.05,23.65,0,1.0,0.27,14.0,5.59,0.13636363636363646,0.31,4.299999999999997,1.603999999999999,1.2,1.079377777777776,0,0
0,20,50,0.05,25.3,0,3.0,0.65,15.0,5.81,0.15217391304347827,0.0,5.199999999999999,1.7359999999999998,0.9499999999999998,2.344347474747473,0,0
0,21,50,0.05,23.65,0,2.0,0.34,14.0,5.48,0.13636363636363646,0.44,4.399999999999998,1.5379999999999994,1.0,1.3142989898989879,0,0
0,22,50,0.05,23.6,0,2.0,0.4,14.0,5.61,0.13636363636363646,0.0,4.399999999999998,1.6159999999999988,1.1,1.4221656565656542,0,0
0,23,50,0.05,23.950000000000003,0,2.0,0.3,14.0,6.17,0.10869565217391308,0.39,4.499999999999998,1.9519999999999984,1.4999999999999996,1.079086868686868,0,0
0,24,50,0.05,23.9,0,2.0,0.39,14.0,5.91,0.10869565217391308,0.52,4.600000000000001,1.7960000000000005,1.0,2.1193777777777796,0,0
0,25,50,0.05,22.05,0,1.0,0.26,13.0,5.36,0.11904761904761907,0.42,3.7999999999999976,1.465999999999999,0.9,1.1218626262626241,0,0
0,26,50,0.05,22.55,0,1.0,0.26,13.0,5.25,0.11904761904761907,0.36,3.6999999999999975,1.3999999999999992,1.0,0.9044444444444428,0,0
0,27,50,0.05,23.950000000000003,0,1.0,0.25,12.0,5.9,0.021739130434782705,0.14,3.5999999999999983,1.7899999999999991,1.649999999999999,0.7326262626262613,0,0
