day,baseline,maximin
1,7.111055527763882,7.1830915457728866
2,6.558500000000001,6.810500000000001
3,6.4045000000000005,6.623500000000001
4,6.292500000000001,6.6165
5,6.381500000000001,6.735500000000001
6,6.440500000000001,6.752500000000001
7,6.4125000000000005,6.679500000000001
8,6.225500000000002,6.615500000000001
9,5.996965098634296,6.514906518443659
10,6.088649544324774,6.835677749360615
11,6.074626865671643,6.798593350383633
12,6.10945273631841,6.746163682864451
13,5.915422885572141,6.69373401534527
14,5.810945273631843,6.625959079283889
15,5.773457311918852,6.509446254071661
16,6.000000000000003,7.077396657871593
17,5.905172413793106,7.140845070422536
18,5.862068965517244,7.096830985915494
19,5.620689655172416,7.126760563380283
20,5.698275862068968,6.936507936507938
21,5.471615720524019,6.89620938628159
22,5.872235872235875,7.390644753476613
23,5.786240786240789,7.4070796460177
24,5.523341523341527,7.4538558786346405
25,5.422604422604426,7.614412136536031
26,5.261083743842368,7.545685279187818
27,5.298994974874375,7.332896461336828
28,6.0806451612903265,7.804123711340206
29,5.9274193548387135,7.969072164948454
30,5.822580645161294,7.793814432989691
31,5.620967741935488,7.855670103092783
32,5.298387096774198,7.674176776429809
33,5.235537190082648,7.495511669658887
34,6.068965517241384,8.608695652173912
35,6.0206896551724185,8.492753623188406
36,6.055172413793108,8.405797101449274
37,5.8827586206896605,8.304347826086955
38,5.544827586206901,8.394160583941606
39,5.673758865248232,8.309278350515463
40,5.6179775280898925,9.134426229508195
41,5.831460674157309,9.118032786885244
42,5.977528089887645,9.121311475409835
43,5.786516853932591,8.84918032786885
44,5.460674157303377,8.819999999999999
45,5.367816091954028,8.989208633093522
46,6.1052631578947425,10.330275229357795
47,6.368421052631586,10.211009174311924
48,6.105263157894743,10.229357798165136
49,5.947368421052639,10.275229357798164
50,5.473684210526323,9.805555555555554
