,reward,numerosity,fitness
0,8.4,24,4.319999999999999
1,11.4,18,18.0
2,2.9,3,6.72
3,3.8,6,6.48
4,22.299999999999997,29,116.16
5,34.19999999999999,54,54.0
6,16.2,18,71.28
7,1.3,3,0.6
8,13.5,15,16.200000000000003
9,82.80000000000001,92,987.39
10,21.900000000000002,27,38.52
11,83.69999999999999,117,1355.1599999999999
12,18.9,21,83.16
13,15.499999999999998,35,41.519999999999996
14,13.3,21,25.200000000000003
15,2.9,3,0.6
16,13.2,20,31.14
17,19.6,28,83.79
18,17.8,32,138.93000000000004
19,4.0,4,9.6
20,2.3,13,4.5600000000000005
21,13.5,15,142.56
22,37.50000000000001,71,354.66
23,11.4,18,32.4
24,21.599999999999998,24,51.84000000000002
25,5.699999999999999,9,9.0
26,18.0,20,56.160000000000004
27,27.900000000000006,31,169.56
28,5.4,6,6.48
29,27.9,33,237.86999999999998
30,7.2,8,34.02
31,19.6,28,100.80000000000001
32,30.0,60,286.2
33,36.0,72,100.80000000000004
34,13.5,23,82.2
35,3.7,3,23.76
36,16.2,18,43.2
37,3.8,6,2.16
38,27.499999999999993,59,172.8
39,7.6,12,21.6
40,3.8,6,34.56
41,48.6,54,398.52
42,11.799999999999999,28,17.880000000000003
43,19.300000000000004,25,42.24
44,5.6,8,11.280000000000001
45,8.4,20,38.88
46,22.7,25,58.95
47,13.199999999999998,36,30.24
48,8.100000000000001,9,45.36
49,13.199999999999998,36,122.40000000000002
50,37.4,70,173.40000000000003
51,64.0,78,577.74
52,23.5,25,185.51999999999998
53,19.300000000000004,25,85.20000000000002
54,4.4,12,4.32
55,8.100000000000001,9,25.92
56,29.699999999999996,33,59.39999999999999
57,11.4,18,18.0
58,5.4,6,58.32
59,16.900000000000002,25,146.52
60,13.5,15,32.400000000000006
61,58.8,108,809.8799999999999
62,15.9,31,38.760000000000005
63,43.60000000000001,52,474.1199999999999
64,12.6,14,96.66000000000001
65,36.900000000000006,41,76.67999999999999
66,11.600000000000001,36,24.24
67,22.700000000000003,35,54.36
68,18.1,19,14.88
69,3.8,4,15.39
70,13.199999999999998,36,12.96
71,20.4,28,233.82000000000002
72,37.5,69,313.8599999999999
73,8.799999999999999,24,5.759999999999999
74,47.29999999999999,65,264.96000000000004
75,24.299999999999997,27,87.48
76,9.5,13,23.520000000000003
77,9.899999999999999,27,6.479999999999999
78,11.4,18,21.6
79,16.2,18,25.92
80,24.699999999999996,39,39.0
81,24.0,40,140.94
82,29.000000000000004,66,271.55999999999995
83,8.100000000000001,9,29.160000000000004
84,22.799999999999997,36,77.76000000000003
85,22.6,34,59.519999999999996
86,2.9,3,28.56
87,1.1,3,1.8
88,66.69999999999999,115,1271.97
89,3.6999999999999997,3,6.72
90,11.4,18,39.6
91,10.399999999999999,32,7.23
92,2.1,3,2.16
93,67.30000000000003,151,233.30999999999995
94,36.1,49,116.36999999999999
95,38.2,78,240.18
96,9.899999999999999,27,1.08
97,13.5,15,32.400000000000006
98,5.699999999999999,9,12.96
99,65.89999999999998,99,804.2400000000001
100,5.9,11,11.7
101,18.9,21,37.8
102,20.700000000000003,23,98.28000000000002
103,29.599999999999998,48,219.47999999999996
104,22.200000000000003,30,70.19999999999999
105,51.69999999999998,77,297.65999999999997
106,64.50000000000001,101,1213.14
107,55.19999999999999,88,564.4799999999999
108,15.399999999999999,34,108.84
109,10.0,10,37.44
110,66.10000000000002,77,303.48
111,3.6999999999999997,3,6.72
112,21.6,24,45.36000000000001
113,16.299999999999997,51,30.33
114,5.699999999999999,7,18.48
115,16.0,32,38.400000000000006
116,36.0,72,43.19999999999999
117,35.300000000000004,39,119.7
118,6.6,18,43.2
119,13.700000000000001,25,68.34
120,35.0,54,170.31000000000003
121,32.5,35,152.64000000000001
122,5.699999999999999,9,16.200000000000003
123,7.6,12,9.6
124,23.200000000000003,40,128.04
125,6.6,18,64.8
126,58.50000000000001,73,475.62000000000006
127,12.0,24,92.34
128,19.5,43,117.48000000000002
129,10.8,12,21.6
130,14.299999999999997,39,4.68
131,24.599999999999998,36,154.74
132,26.999999999999996,30,53.99999999999999
133,2.9,3,9.6
134,5.4,6,17.28
135,49.500000000000014,55,367.2
136,7.6,12,26.4
137,17.700000000000003,33,284.52
138,3.7,3,3.24
139,66.4,88,1937.52
140,40.5,45,185.22000000000003
141,8.799999999999999,24,9.6
142,2.0999999999999996,9,9.72
143,15.3,17,63.18000000000001
144,17.599999999999998,48,15.360000000000007
145,15.200000000000001,24,48.0
146,8.799999999999999,24,12.480000000000002
147,116.10000000000004,161,2365.4400000000005
148,2.2,6,6.0
149,0.5999999999999999,6,1.44
150,3.7,3,6.48
151,3.7,3,21.6
152,7.6,10,35.28
153,2.0999999999999996,3,0.72
154,11.0,14,101.75999999999999
155,36.29999999999999,59,24.840000000000003
156,80.30000000000003,107,697.0799999999999
157,78.49999999999999,113,528.87
158,42.6,90,167.75999999999993
159,15.399999999999997,42,1.6800000000000006
160,5.699999999999999,9,19.44
161,10.0,10,46.26
162,5.699999999999999,9,25.92
163,4.6,4,43.74
164,29.2,50,514.0799999999999
165,2.9,3,28.56
166,3.8,6,2.16
167,10.6,14,44.61
168,7.6,12,7.2
169,3.8,6,2.16
170,3.8,6,12.96
171,9.0,18,39.6
172,7.6,12,14.4
173,27.400000000000002,42,72.0
174,19.200000000000003,24,56.16
175,29.699999999999996,33,71.28000000000003
176,4.0,8,15.600000000000001
177,12.2,24,30.990000000000002
178,8.4,12,65.61
179,47.19999999999999,70,394.26000000000005
180,31.400000000000002,42,452.82
181,9.9,11,36.72
182,43.59999999999999,66,224.28
183,13.0,26,49.86000000000001
