day,baseline,egalitarian,maximin,utilitarian
1.0,0.0,0.0,0.0,0.0
2.0,0.0015,0.016,0.0055,0.019
3.0,0.0165,0.071,0.0195,0.0995
4.0,0.017,0.161,0.03,0.1875
5.0,0.019,0.275,0.041,0.309
6.0,0.0335,0.3905,0.0785,0.4915
7.0,0.092,0.644,0.193,0.7195
8.0,0.185,0.8595,0.3275,0.9555
9.0,0.21,0.9795,0.6085,1.0745
10.0,1.0293398533007334,1.1768326804700615,1.0242881072026802,1.248642779587405
11.0,1.0465686274509804,1.3111359820928932,1.0435875943000839,1.3859934853420195
12.0,1.1102941176470589,1.4661443760492445,1.0997485331098071,1.6384364820846906
13.0,1.2058823529411764,1.6759932848349188,1.2087175188600168,1.8072747014115091
14.0,1.2843137254901962,1.8500279798545047,1.3763621123218777,1.9592833876221498
15.0,1.3259803921568627,1.9988808058198098,1.5607711651299245,2.091748099891422
16.0,2.0551181102362204,2.275929549902153,2.039877300613497,2.3163944343617664
17.0,2.094488188976378,2.396607958251794,2.062883435582822,2.456140350877193
18.0,2.251968503937008,2.5472928897586433,2.1226993865030677,2.6963097398669085
19.0,2.4488188976377954,2.726679712981083,2.2622699386503067,2.855414398064126
20.0,2.559055118110236,2.898238747553816,2.457055214723926,2.9969751966122202
21.0,2.634920634920635,3.033289817232376,2.6390168970814134,3.143723468768951
22.0,3.0789473684210527,3.305810397553517,3.0701754385964914,3.382876712328767
23.0,3.1973684210526314,3.434250764525994,3.1027568922305764,3.521232876712329
24.0,3.3947368421052633,3.6131498470948014,3.200501253132832,3.7205479452054795
25.0,3.486842105263158,3.782874617737003,3.3483709273182956,3.8684931506849316
26.0,3.6447368421052633,3.923547400611621,3.5037593984962405,4.036301369863014
27.0,3.7333333333333334,4.075920245398773,3.6522842639593907,4.18188057652711
28.0,4.14,4.351111111111111,4.113924050632911,4.493995196156925
29.0,4.22,4.455111111111111,4.172995780590718,4.634907926341073
30.0,4.4,4.618666666666667,4.232067510548523,4.834267413931145
31.0,4.66,4.778666666666667,4.367088607594937,4.974379503602882
32.0,4.74,4.940444444444444,4.527426160337553,5.123298638911129
33.0,4.877551020408164,5.100719424460432,4.641350210970464,5.263754045307444
34.0,5.15,5.410094637223975,5.104895104895105,5.571161048689139
35.0,5.275,5.5120925341745535,5.188811188811189,5.72191011235955
36.0,5.45,5.6614090431125135,5.258741258741258,5.894194756554307
37.0,5.6,5.8349106203995795,5.391608391608392,6.023408239700374
38.0,5.825,5.974763406940063,5.531468531468532,6.186329588014981
39.0,5.9743589743589745,6.142550911039657,5.6879432624113475,6.341209829867675
40.0,6.336499321573949,6.4481012658227845,6.151162790697675,6.674972914409534
41.0,6.457259158751696,6.563291139240507,6.209302325581396,6.810400866738895
42.0,6.649932157394844,6.724050632911393,6.267441860465116,6.99349945828819
43.0,6.833107191316147,6.8632911392405065,6.488372093023256,7.14409534127844
44.0,6.974219810040705,6.99873417721519,6.662790697674419,7.28819068255688
45.0,7.118131868131868,7.143229166666667,6.821428571428571,7.440789473684211
46.0,7.37460815047022,7.535885167464115,7.228070175438597,7.714631197097944
47.0,7.498432601880878,7.656549520766773,7.298245614035087,7.87061668681983
48.0,7.653846153846154,7.806709265175719,7.4035087719298245,8.032648125755744
49.0,7.847962382445141,7.92332268370607,7.526315789473684,8.19105199516324
50.0,7.961538461538462,8.054313099041533,7.684210526315789,8.342200725513905
