,day,agent_id,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,reward,num_norms,count
0,1.0,0.0,0.08054027013506754,0.0,0.0,0.7000000000000001,7.483241620810405,15.483241620810405,0.08054027013506754,1.0,1999
1,1.0,1.0,0.03601800900450225,0.0,0.0,0.7000000000000001,7.216108054027013,15.216108054027014,0.03601800900450225,1.0,1999
2,1.0,2.0,0.04852426213106553,0.0,0.0,0.7000000000000001,7.291145572786394,15.291145572786393,0.04852426213106553,1.0,1999
3,1.0,3.0,0.02801400700350175,0.0,0.0,0.7000000000000001,7.16808404202101,15.168084042021011,0.02801400700350175,1.0,1999
4,2.0,0.0,0.228,0.091,0.0015,0.6546500000000001,7.914500000000001,23.334,0.30775,1.2945,2000
5,2.0,1.0,0.0995,0.0065,0.034,0.6039500000000001,6.636500000000001,21.834,0.1095,1.3585,2000
6,2.0,2.0,0.141,0.0015,0.0485,0.6009500000000001,6.855500000000001,22.134,0.16525,1.2975,2000
7,2.0,3.0,0.1115,0.094,0.0005,0.6564500000000001,7.233500000000001,22.206,0.13915,1.298,2000
8,3.0,0.0,0.295,0.389,0.018,0.73345,9.1045,32.1445,0.51475,1.8585,2000
9,3.0,1.0,0.1575,0.022,0.125,0.5132500000000001,6.077500000000001,27.8845,0.211,1.928,2000
10,3.0,2.0,0.2145,0.0165,0.1885,0.5099500000000001,6.386500000000001,28.4725,0.2835,1.858,2000
11,3.0,3.0,0.175,0.3445,0.004,0.7067500000000001,8.1175,29.9515,0.28464999999999996,1.8175,2000
12,4.0,0.0,0.2565,0.6455,0.0185,0.78735,9.4125,41.551,0.46475,2.746,2000
13,4.0,1.0,0.3455,0.031,0.1275,0.4186500000000001,6.259500000000001,34.144,0.18095,2.923,2000
14,4.0,2.0,0.4305,0.017,0.1965,0.41025000000000006,6.6855,35.158,0.188,2.857,2000
15,4.0,3.0,0.19,0.521,0.004,0.7126500000000001,8.2665,38.191,0.3483,2.7145,2000
16,5.0,0.0,0.269,0.847,0.019,0.80825,9.6965,51.2475,0.41355000000000003,3.2575,2000
