,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
105,0,1,50,1,11,0,2.4999999999999987,30.999999999999982,747.0,0,1.0,16,12
83,1,1,28,0,3,1,0.0,0.0,195.0,0,-1.0,10,3
34,2,1,10,1,0,0,0.0,5.000000000000001,59.0,0,-1.0,5,1
71,3,1,22,0,2,0,0.0,0.0,84.0,0,-1.0,10,2
252,0,2,50,1,12,0,2.9999999999999982,35.99999999999998,705.0,0,2.0,15,13
187,1,2,21,1,2,1,0.0,5.000000000000001,155.0,0,0.0,8,3
206,2,2,27,1,3,1,0.0,5.000000000000003,182.0,0,-1.0,15,4
253,3,2,50,1,10,1,1.7999999999999965,23.99999999999996,1149.0,2,1.5,20,11
410,0,3,50,1,12,0,2.9999999999999973,35.99999999999997,999.0,0,2.0,18,13
411,1,3,50,1,8,1,0.5999999999999998,11.999999999999996,447.0,0,2.0,19,9
288,2,3,9,2,0,0,0.0,11.0,71.0,0,0.0,6,2
412,3,3,50,0,9,1,1.2,11.999999999999998,453.0,1,2.0,19,9
549,0,4,50,0,10,0,1.7999999999999976,17.999999999999975,639.0,0,1.0,13,10
531,1,4,33,0,4,0,0.0,0.0,186.0,0,-1.0,14,4
495,2,4,21,2,2,0,0.0,11.0,143.0,0,0.0,11,4
532,3,4,33,0,4,0,0.0,0.0,168.0,0,-1.0,11,4
706,0,5,50,0,12,0,2.9999999999999973,29.99999999999997,933.0,1,2.0,8,12
707,1,5,50,1,7,0,6.938893903907228e-16,6.000000000000006,273.0,0,2.0,14,8
584,2,5,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,4,1
708,3,5,50,1,8,0,0.6000000000000005,12.000000000000004,273.0,0,2.0,10,9
865,0,6,50,1,11,0,2.399999999999997,29.99999999999997,867.0,0,2.0,17,12
866,1,6,50,0,9,0,1.1999999999999984,11.999999999999984,561.0,0,1.0,10,9
743,2,6,9,2,0,0,0.0,11.0,77.0,0,0.0,8,2
867,3,6,50,0,8,0,0.5999999999999995,5.999999999999995,417.0,1,2.0,14,8
996,0,7,50,1,11,0,2.3999999999999964,29.999999999999964,1131.0,0,2.0,11,12
938,1,7,21,0,2,0,0.0,0.0,102.0,2,-1.2,11,2
902,2,7,9,1,0,0,0.0,5.000000000000001,47.0,0,-1.0,6,1
997,3,7,50,0,7,0,1.3877787807814454e-16,1.3877787807814457e-15,399.0,0,1.0,10,7
1154,0,8,50,1,10,0,1.799999999999998,23.99999999999998,669.0,0,2.0,14,11
1155,1,8,50,0,8,0,0.600000000000001,6.00000000000001,309.0,0,1.0,12,8
1032,2,8,9,1,0,0,0.0,5.000000000000001,65.0,0,-1.0,5,1
1156,3,8,50,0,9,0,1.2000000000000002,12.000000000000002,405.0,1,2.0,14,9
1285,0,9,50,0,11,0,2.399999999999998,23.99999999999998,633.0,1,2.0,14,11
1227,1,9,21,0,2,0,0.0,0.0,96.0,0,-1.0,11,2
1191,2,9,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,3,1
1286,3,9,50,0,7,0,2.498001805406602e-16,2.4980018054066026e-15,315.0,0,1.0,15,7
1387,0,10,50,0,9,0,1.199999999999998,11.99999999999998,585.0,0,1.0,13,9
1364,1,10,27,0,3,0,0.0,0.0,165.0,0,-1.0,16,3
1321,2,10,9,1,0,0,0.0,5.000000000000001,71.0,0,-1.0,5,1
1340,3,10,15,1,1,0,0.0,5.000000000000002,80.0,0,0.0,8,2
1510,0,11,50,2,10,0,1.7999999999999976,29.99999999999997,789.0,0,2.0,15,12
1440,1,11,15,0,1,1,0.0,0.0,69.0,0,-1.0,9,1
1422,2,11,9,2,0,0,0.0,11.0,59.0,0,0.0,5,2
1511,3,11,50,0,9,0,1.1999999999999966,11.999999999999966,687.0,0,1.0,9,9
1618,0,12,50,0,10,0,1.7999999999999985,17.999999999999982,555.0,1,2.0,18,10
1601,1,12,33,0,4,0,0.0,0.0,192.0,0,-1.0,16,4
1546,2,12,9,2,0,0,0.0,11.0,77.0,4,-1.2,4,2
1565,3,12,15,0,1,0,0.0,0.0,63.0,4,-1.2,8,1
1781,0,13,50,0,11,0,2.399999999999997,23.999999999999968,927.0,0,1.0,12,11
1782,1,13,50,0,8,0,0.6000000000000009,6.000000000000008,315.0,0,1.0,14,8
1677,2,13,15,2,1,0,0.0,11.0,122.0,0,-1.0,11,3
1783,3,13,50,0,8,0,0.6000000000000005,6.000000000000005,357.0,0,1.0,11,8
1920,0,14,50,1,11,0,2.399999999999997,29.999999999999968,951.0,0,1.0,16,12
1915,1,14,45,0,6,0,0.0,0.0,294.0,2,-1.2,16,6
1842,2,14,15,1,1,0,0.0,5.000000000000002,104.0,0,-1.0,8,2
1879,3,14,27,0,3,0,0.0,0.0,159.0,0,-1.0,10,3
2061,0,15,50,1,11,0,2.399999999999997,29.99999999999997,945.0,0,1.0,17,12
2027,1,15,33,1,4,0,0.0,5.000000000000004,191.0,0,0.0,13,5
1955,2,15,9,0,0,1,0.0,0.0,42.0,1,-1.2,6,0
2062,3,15,50,0,9,0,1.1999999999999988,11.999999999999988,537.0,1,2.0,14,9
2203,0,16,50,1,10,0,1.7999999999999985,23.999999999999982,633.0,0,1.0,13,11
2204,1,16,50,0,7,0,2.498001805406602e-16,2.4980018054066026e-15,345.0,0,1.0,19,7
2097,2,16,9,1,0,0,0.0,5.000000000000001,53.0,0,-1.0,5,1
2170,3,16,33,0,4,0,0.0,0.0,162.0,0,-1.0,15,4
2287,0,17,50,1,10,0,1.7999999999999967,23.999999999999968,915.0,0,1.0,10,11
2238,1,17,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,6,1
2239,2,17,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,4,1
2252,3,17,15,1,1,0,0.0,5.000000000000002,74.0,0,0.0,7,2
2410,0,18,50,0,10,0,1.7999999999999967,17.999999999999964,933.0,0,1.0,16,10
2340,1,18,15,0,1,1,0.0,0.0,69.0,0,-1.0,6,1
2322,2,18,9,1,0,0,0.0,5.000000000000001,47.0,0,-1.0,4,1
2411,3,18,50,0,8,0,0.5999999999999998,5.999999999999997,495.0,0,1.0,8,8
2540,0,19,50,1,10,0,1.7999999999999972,23.99999999999997,789.0,0,1.0,12,11
2541,1,19,50,0,7,0,9.15933995315754e-16,9.15933995315754e-15,315.0,0,1.0,18,7
2446,2,19,9,1,0,0,0.0,5.000000000000001,77.0,0,-1.0,5,1
2483,3,19,21,1,2,0,0.0,5.000000000000002,125.0,0,0.0,8,3
